geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp2g02340	C1	C3	chr2.2544758.2545444	chr2	2544758	2545444	687	264
Mp2g05810	C1	C3	chr2.5997193.5997326	chr2	5997193	5997326	134	15
Mp2g13080	C1	C3	chr2.13306769.13307134	chr2	13306769	13307134	366	1128
Mp2g18200	C1	C3	chr2.19561742.19561929	chr2	19561742	19561929	188	-180
Mp3g03860	C1	C3	chr3.3830049.3830241	chr3	3830049	3830241	193	0
Mp3g14610	C1	C3	chr3.14234016.14234308	chr3	14234016	14234308	293	-568
Mp3g19690	C1	C3	chr3.20207787.20207876	chr3	20207787	20207876	90	144
Mp3g21280	C1	C3	chr3.21969855.21970013	chr3	21969855	21970013	159	-1102
Mp3g22100	C1	C3	chr3.22971086.22971264	chr3	22971086	22971264	179	0
Mp4g07890	C1	C3	chr4.8822168.8822405	chr4	8822168	8822405	238	0
Mp4g08240	C1	C3	chr4.9098483.9098608	chr4	9098483	9098608	126	-281
Mp4g08240	C1	C3	chr4.9098713.9098986	chr4	9098713	9098986	274	0
Mp4g21350	C1	C3	chr4.24121726.24121895	chr4	24121726	24121895	170	837
Mp5g17550	C1	C3	chr5.18606110.18606451	chr5	18606110	18606451	342	0
Mp5g17610	C1	C3	chr5.18651701.18651781	chr5	18651701	18651781	81	-1223
Mp5g21040	C1	C3	chr5.22564506.22564580	chr5	22564506	22564580	75	-522
Mp6g08810	C1	C3	chr6.9765129.9765654	chr6	9765129	9765654	526	-72
Mp6g20220	C1	C3	chr6.22460555.22460779	chr6	22460555	22460779	225	-602
Mp7g00590	C1	C3	chr7.782635.783345	chr7	782635	783345	711	0
Mp7g03680	C1	C3	chr7.4524175.4524596	chr7	4524175	4524596	422	-602
Mp7g07610	C1	C3	chr7.8790725.8790804	chr7	8790725	8790804	80	-66
Mp7g11680	C1	C3	chr7.12969469.12969773	chr7	12969469	12969773	305	568
Mp7g16620	C1	C3	chr7.18480777.18480863	chr7	18480777	18480863	87	-7
Mp8g01400	C1	C3	chr8.1508973.1509073	chr8	1508973	1509073	101	-415
Mp8g02920	C1	C3	chr8.2985345.2985565	chr8	2985345	2985565	221	0
