geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g00440	C1	C5	chr1.542614.543334	chr1	542614	543334	721	1219
Mp1g05220	C1	C5	chr1.5566571.5566721	chr1	5566571	5566721	151	-549
Mp1g05220	C1	C5	chr1.5566904.5567093	chr1	5566904	5567093	190	-177
Mp1g19400	C1	C5	chr1.19846982.19847246	chr1	19846982	19847246	265	858
Mp2g03800	C1	C5	chr2.3984395.3984459	chr2	3984395	3984459	65	0
Mp2g05050	C1	C5	chr2.5268845.5269133	chr2	5268845	5269133	289	0
Mp2g17910	C1	C5	chr2.19097349.19097544	chr2	19097349	19097544	196	713
Mp2g18670	C1	C5	chr2.20082850.20083637	chr2	20082850	20083637	788	239
Mp2g22600	C1	C5	chr2.24746954.24747449	chr2	24746954	24747449	496	363
Mp2g24920	C1	C5	chr2.27267617.27269366	chr2	27267617	27269366	1750	896
Mp3g19100	C1	C5	chr3.19631439.19631956	chr3	19631439	19631956	518	-11
Mp4g00750	C1	C5	chr4.967891.968556	chr4	967891	968556	666	0
Mp4g21110	C1	C5	chr4.23876087.23876264	chr4	23876087	23876264	178	609
Mp5g19920	C1	C5	chr5.21166882.21168025	chr5	21166882	21168025	1144	0
Mp5g21960	C1	C5	chr5.23668043.23668275	chr5	23668043	23668275	233	-259
Mp6g00690	C1	C5	chr6.1147861.1148743	chr6	1147861	1148743	883	1003
Mp6g14600	C1	C5	chr6.15927285.15927460	chr6	15927285	15927460	176	0
Mp8g06860	C1	C5	chr8.7878813.7880577	chr8	7878813	7880577	1765	0
Mp8g12600	C1	C5	chr8.14199693.14200634	chr8	14199693	14200634	942	0
Mp8g12920	C1	C5	chr8.14412490.14412813	chr8	14412490	14412813	324	0
Mp8g17110	C1	C5	chr8.19166124.19166282	chr8	19166124	19166282	159	0
