GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0007165	signal transduction	2026	45	11.6	8e-16	3.241e-12	P	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0044700	single organism signaling	2066	45	11.83	1.6e-15	3.241e-12	P	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0023052	signaling	2068	45	11.84	1.7e-15	3.241e-12	P	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0007154	cell communication	2317	47	13.27	4.7e-15	6.721e-12	P	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0051716	cellular response to stimulus	2956	52	16.93	3.2e-14	3.661e-11	P	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G03350, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G03350, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0006542	glutamine biosynthetic process	7	6	0.04	2.2e-13	2.097e-10	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0009987	cellular process	15094	123	86.44	1.3e-10	1.062e-07	P	AT1G01210, AT1G02130, AT1G05030, AT1G17220, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47128, AT1G47890, AT1G48470, AT1G66200, AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G68730, AT1G70250, AT1G71390, AT1G71400, AT1G74820, AT1G77000, AT2G15080, AT2G16430, AT2G17510, AT2G17640, AT2G24630, AT2G24990, AT2G25440, AT2G26070, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G42750, AT2G44910, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G07330, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22660, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28180, AT3G28890, AT3G51520, AT3G57060, AT3G60390, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G07950, AT4G07960, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G18250, AT4G22745, AT4G26600, AT4G29890, AT4G31590, AT4G35640, AT4G37810, AT5G03350, AT5G06710, AT5G09760, AT5G13480, AT5G16570, AT5G18580, AT5G21222, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37350, AT5G37600, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030, AT5G40170, AT5G43060, AT5G47200, AT5G47370, AT5G55810, AT5G55920, AT5G58370, AT5G64640	AT1G01210, AT1G02130, AT1G05030, AT1G17220, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47128, AT1G47890, AT1G48470, AT1G66200, AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G68730, AT1G70250, AT1G71390, AT1G71400, AT1G74820, AT1G77000, AT2G15080, AT2G16430, AT2G17510, AT2G17640, AT2G24630, AT2G24990, AT2G25440, AT2G26070, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G42750, AT2G44910, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G07330, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22660, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28180, AT3G28890, AT3G51520, AT3G57060, AT3G60390, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G07950, AT4G07960, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G18250, AT4G22745, AT4G26600, AT4G29890, AT4G31590, AT4G35640, AT4G37810, AT5G03350, AT5G06710, AT5G09760, AT5G13480, AT5G16570, AT5G18580, AT5G21222, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37350, AT5G37600, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030, AT5G40170, AT5G43060, AT5G47200, AT5G47370, AT5G55810, AT5G55920, AT5G58370, AT5G64640
GO:0006952	defense response	1616	32	9.25	5.3e-10	3.790e-07	P	AT1G45616, AT1G47128, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G28840, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G15356, AT3G16530, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT4G13810, AT4G13920, AT5G03350, AT5G09440, AT5G25910, AT5G27060, AT5G40170	AT1G45616, AT1G47128, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G28840, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G15356, AT3G16530, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT4G13810, AT4G13920, AT5G03350, AT5G09440, AT5G25910, AT5G27060, AT5G40170
GO:0044763	single-organism cellular process	8410	84	48.16	1.2e-09	7.627e-07	P	AT1G02130, AT1G05030, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47890, AT1G48470, AT1G66200, AT1G68730, AT1G71390, AT1G71400, AT1G74820, AT2G15080, AT2G16430, AT2G17640, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28890, AT3G51520, AT3G57060, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G22745, AT4G29890, AT4G35640, AT4G37810, AT5G13480, AT5G16570, AT5G18580, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37600, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G55810	AT1G02130, AT1G05030, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47890, AT1G48470, AT1G66200, AT1G68730, AT1G71390, AT1G71400, AT1G74820, AT2G15080, AT2G16430, AT2G17640, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28890, AT3G51520, AT3G57060, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G22745, AT4G29890, AT4G35640, AT4G37810, AT5G13480, AT5G16570, AT5G18580, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37600, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G55810
GO:0009399	nitrogen fixation	5	4	0.03	5.1e-09	2.756e-06	P	AT1G48470, AT1G66200, AT5G16570, AT5G37600	AT1G48470, AT1G66200, AT5G16570, AT5G37600
