geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g11070	C6	C3	chr1.11336366.11337082	chr1	11336366	11337082	717	0
Mp1g16340	C6	C3	chr1.16549898.16550008	chr1	16549898	16550008	111	0
Mp1g18170	C6	C3	chr1.18450321.18450577	chr1	18450321	18450577	257	0
Mp2g04740	C6	C3	chr2.5003860.5003965	chr2	5003860	5003965	106	0
Mp2g24790	C6	C3	chr2.27116826.27116931	chr2	27116826	27116931	106	343
Mp2g24810	C6	C3	chr2.27153998.27154414	chr2	27153998	27154414	417	241
Mp2g24810	C6	C3	chr2.27154552.27154644	chr2	27154552	27154644	93	795
Mp3g03370	C6	C3	chr3.3214605.3214671	chr3	3214605	3214671	67	869
Mp3g03420	C6	C3	chr3.3320183.3320330	chr3	3320183	3320330	148	-73
Mp3g18030	C6	C3	chr3.18362829.18362949	chr3	18362829	18362949	121	-729
Mp4g08820	C6	C3	chr4.9927803.9928220	chr4	9927803	9928220	418	-307
Mp5g00550	C6	C3	chr5.817095.817410	chr5	817095	817410	316	0
Mp5g11110	C6	C3	chr5.12444287.12444544	chr5	12444287	12444544	258	-14
Mp5g19380	C6	C3	chr5.20453213.20453479	chr5	20453213	20453479	267	-486
Mp5g21450	C6	C3	chr5.23049834.23050112	chr5	23049834	23050112	279	-662
Mp6g12310	C6	C3	chr6.13453494.13453856	chr6	13453494	13453856	363	-50
Mp6g12310	C6	C3	chr6.13453966.13454290	chr6	13453966	13454290	325	-522
Mp6g20250	C6	C3	chr6.22478354.22478468	chr6	22478354	22478468	115	720
Mp7g04810	C6	C3	chr7.5633398.5633689	chr7	5633398	5633689	292	-173
Mp7g13270	C6	C3	chr7.14839001.14839104	chr7	14839001	14839104	104	-1149
Mp8g00350	C6	C3	chr8.495501.495696	chr8	495501	495696	196	440
Mp8g01280	C6	C3	chr8.1414165.1414470	chr8	1414165	1414470	306	-287
