peak	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16
chr1.175209.175310	10.4320142956279	9.5878724691044	9.55742497197349	9.30251215666462	10.6999056126309	10.7706235995234	9.18484670756205	9.00624260433766	10.446725281713	11.0652765919131	10.0103539232874	9.92591891904044	9.69036306181128	9.535325471928	9.70975395978952	9.69800307359816
chr1.175686.175887	11.6662727364563	11.4286894661298	11.1263372564764	10.3976438462455	12.0356502084069	11.9659613361514	10.6712336897669	10.4964003815053	11.5578239034483	12.0427718927888	11.5034182581035	11.4433940556262	10.6268214516223	10.6991829257136	11.0973943933505	11.0364496897629
chr1.176121.179014	16.3313265243675	16.2277359246595	15.7365809469724	14.7874840474592	16.6389096839341	16.6253485834115	15.1229008364288	15.0037276875579	16.1196903497528	16.5435904875773	16.1499362002241	16.0371005147963	14.8947510564281	14.8928112340903	15.600634546011	15.6126543752144
chr1.196397.198246	15.0044063383146	14.3299347983679	14.0700843771217	13.49048402922	15.2931325379901	15.2512231156527	13.592718752557	13.3994734245308	14.8882392410814	15.37193940004	14.7054538075139	14.5308930435248	13.8095479798434	13.6727038866759	14.2342080159832	14.2066130530168
chr1.237492.237992	9.10715346636766	9.01902739035252	8.81717014505341	8.66208181588124	9.23729354010449	9.27358150778418	8.62612558953068	8.56006190609301	9.15034849596914	9.280577104085	8.58899330565054	8.61745764833976	8.79107276798552	8.69524819011079	8.56851185255573	8.44202241269454
chr1.264877.265288	8.61574661195338	8.34086047418587	8.9771762459123	8.90800557465097	8.85929295134565	8.78044923911203	9.04710812100528	8.80459000657782	8.80350076569519	8.81140578111432	9.11318599517146	9.12683244112276	8.66499034038134	8.54837824478198	8.79067550031825	8.77389224323608
chr1.329934.331716	9.24497016350662	8.89044018898801	10.4952348910238	10.3255668094794	9.35752429418944	9.31772526938259	9.472382018732	9.49942236047134	9.67345452592868	9.7112929467922	10.8139788927776	10.7260755566239	9.35787474299338	9.22242589649871	9.09220105558178	9.26996060541971
chr1.372261.372774	9.48771715687461	9.29973396189728	9.06177963554001	8.99470196895489	9.38688814939598	9.4779605622918	8.73261907551485	8.76010911680709	9.48665037118807	9.27005293956965	9.06485253446335	8.88033791029291	9.39792713525387	9.24268593844186	8.66227212026578	8.71001979169361
chr1.400915.401162	8.86057389041757	8.42473758506418	8.63647732357457	8.53129085454	8.9071502804488	9.05899410071199	8.34974138034033	8.31411505213125	8.9226639921409	9.13294459499732	8.75202062803631	8.68188736941729	8.8260081324892	8.6990850564148	8.47636082407607	8.4645945935228
chr1.428371.428921	9.1692140854862	9.29421994389125	9.47876054264555	9.71859800726045	8.95830847678952	8.89024106179995	9.76111040311003	9.73941724585553	9.11402074481849	8.8700931407132	9.1400295760414	9.31258108438022	9.28526142331944	9.16240332819357	9.56109804941228	9.53314676261708
