s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16
chr1.175209.175310	0.856857621549197	-0.53931290989035	-0.589671625587854	-1.01128532797514	1.29993714998399	1.41690134514615	-1.20589839824815	-1.5013011112532	0.881188894583045	1.90424341498438	0.159451371035387	0.0197998799618098	-0.369798332136948	-0.626223150170082	-0.337726706866503	-0.357162115115664
chr1.175686.175887	0.777952291390865	0.347174375752493	-0.201040380632313	-1.52228252014533	1.44769497669013	1.32133748067554	-1.02621870904444	-1.34322052492816	0.581316551120102	1.46060777290534	0.482670083006478	0.373836237948733	-1.10674547067405	-0.975542103792485	-0.25351859693453	-0.36402146333832
chr1.176121.179014	0.851635951190931	0.694379138172628	-0.051223905992214	-1.49201056118779	1.31856584201003	1.29797926895016	-0.982827532854415	-1.16373960056731	0.530359402613121	1.17386552093082	0.576274438007758	0.404983024162022	-1.32917273594107	-1.33211750389805	-0.257598787658686	-0.239351957937853
chr1.196397.198246	0.955799030339177	-0.053506982332535	-0.442357477906879	-1.30969446907189	1.38786038814141	1.32514546327434	-1.15670636674808	-1.44588635425797	0.78196197011073	1.50579010792327	0.508434584295365	0.247214920846425	-0.83223449527309	-1.03701343382323	-0.19675634322066	-0.23805054229634
chr1.237492.237992	0.921036584447943	0.617446140478065	-0.0779431641400706	-0.61221561602862	1.36936339701644	1.49437384473851	-0.736083229507435	-0.963669704385565	1.06984155576827	1.5184733653666	-0.864002309290933	-0.765943904502246	-0.167847476787882	-0.497958920025381	-0.934560011612018	-1.37031055153578
chr1.264877.265288	-0.943426478983469	-2.27584938047324	0.808488424674689	0.473205651783582	0.237086743020899	-0.145083011597261	1.14746089041909	-0.0280683389324569	-0.0333480867911223	0.00496895482698557	1.46775231557361	1.53389911095997	-0.704733207489179	-1.26997315748883	-0.0955144711883352	-0.176865958314928
chr1.329934.331716	-0.682240548914146	-1.27298869419255	1.4010574004078	1.11834194137956	-0.494693236350286	-0.561009773112685	-0.30330747880878	-0.258250550260215	0.0317367183827372	0.094786329281618	1.93217589923247	1.78570384742051	-0.494109288600245	-0.719805733464953	-0.936797493739408	-0.640599338661356
chr1.372261.372774	1.22518655384995	0.59924333485892	-0.193092900467192	-0.416446964375723	0.889447853821711	1.19269921251983	-1.28912608860343	-1.19759022052364	1.22163438916477	0.500411975699705	-0.182860814328099	-0.797254445727404	0.926205279628399	0.40928580464954	-1.52336617384153	-1.36437679632581
chr1.400915.401162	0.682756531848586	-1.06090124188299	-0.21379044242315	-0.634611751182162	0.869095493409988	1.47657966657985	-1.36093984298365	-1.50347070461278	0.931161465563056	1.77243467601362	0.248465635266366	-0.0321176940389545	0.544468711911566	0.0366853869689435	-0.85437126514024	-0.901444625297993
chr1.428371.428921	-0.48440790737712	-0.0596696895366071	0.567352483937433	1.38225938983493	-1.20101170109802	-1.43228752212396	1.52670573402764	1.45299788489824	-0.671940887438801	-1.50074505047314	-0.583569472189296	0.00271681129069727	-0.090108471452161	-0.507549134128611	0.847114459349935	0.752143072478814
