peak	cluster
chr1.175209.175310	C1
chr1.175686.175887	C1
chr1.176121.179014	C1
chr1.196397.198246	C1
chr1.237492.237992	C1
chr1.264877.265288	C2
chr1.329934.331716	C2
chr1.372261.372774	C3
chr1.400915.401162	C3
chr1.428371.428921	C4
chr1.459709.460503	C5
chr1.515080.515372	C6
chr1.540997.541172	C6
chr1.542614.543334	C5
chr1.560792.561061	C1
chr1.566675.566992	C2
chr1.591612.591710	C1
chr1.598704.599125	C7
chr1.633330.634226	C6
chr1.634388.634580	C6
chr1.659147.659293	C3
chr1.722607.722670	C2
chr1.761919.762012	C1
chr1.771255.771371	C2
chr1.773820.774443	C3
chr1.793972.795516	C1
chr1.907640.907880	C6
chr1.947419.947561	C6
chr1.965889.966188	C3
chr1.985122.985576	C8
chr1.997298.997645	C6
chr1.997748.997982	C7
chr1.1041610.1041755	C3
chr1.1059212.1059444	C3
chr1.1063060.1063190	C3
chr1.1147451.1147551	C9
chr1.1153851.1154012	C2
chr1.1327930.1328042	C3
chr1.1368630.1368746	C2
chr1.1372344.1372579	C6
chr1.1375504.1375655	C3
chr1.1448365.1448534	C1
chr1.1448744.1448975	C10
chr1.1513510.1513575	C3
chr1.1565723.1566255	C10
chr1.1607364.1607544	C10
chr1.1700051.1700343	C3
chr1.1757451.1757731	C3
chr1.1784778.1785480	C3
chr1.1793735.1794263	C10
chr1.1796227.1796542	C10
chr1.1882807.1882914	C6
chr1.1886576.1887370	C6
chr1.1936259.1936416	C4
chr1.2004779.2004887	C6
chr1.2053525.2053757	C2
chr1.2059256.2059351	C3
chr1.2070678.2070967	C9
chr1.2097170.2097394	C6
chr1.2130033.2130465	C11
chr1.2140761.2141400	C6
chr1.2145637.2145754	C2
chr1.2228640.2228742	C2
chr1.2234723.2234854	C3
chr1.2263263.2263412	C6
chr1.2271196.2271554	C10
chr1.2283503.2283678	C3
chr1.2300496.2300644	C2
chr1.2311757.2313616	C6
chr1.2330915.2331042	C6
chr1.2345744.2345989	C3
chr1.2370104.2370329	C6
chr1.2376415.2376542	C7
chr1.2390812.2391194	C5
chr1.2411735.2412314	C1
chr1.2413240.2413393	C1
chr1.2504576.2504753	C3
chr1.2538927.2539661	C2
chr1.2598628.2598742	C9
chr1.2636648.2636812	C3
chr1.2687040.2687226	C2
chr1.2754199.2754378	C3
chr1.2834403.2836354	C6
chr1.2997366.2997481	C6
chr1.3073637.3073841	C6
chr1.3191126.3191298	C6
chr1.3213013.3213578	C6
chr1.3220108.3220415	C2
chr1.3224276.3224565	C5
chr1.3233433.3233916	C9
chr1.3236652.3238009	C9
chr1.3313365.3313593	C6
chr1.3353615.3353828	C3
chr1.3381286.3382265	C2
chr1.3432935.3433071	C3
chr1.3522924.3523767	C6
chr1.3528816.3528988	C2
chr1.3538390.3538480	C1
chr1.3570297.3570944	C11
chr1.3581278.3581393	C12
chr1.3610287.3610379	C1
chr1.3655502.3655684	C6
chr1.3759627.3759697	C1
chr1.3772081.3772215	C3
chr1.3868881.3869418	C1
chr1.3876787.3876939	C11
chr1.3877526.3877630	C13
chr1.3878677.3879228	C1
chr1.3925828.3926064	C2
chr1.3947385.3947512	C2
chr1.3958720.3958846	C9
chr1.4068093.4068329	C3
chr1.4071863.4072030	C3
chr1.4129684.4129789	C1
chr1.4142057.4142170	C5
chr1.4268010.4268411	C6
chr1.4268623.4268773	C6
chr1.4278030.4278243	C10
chr1.4323904.4324019	C6
chr1.4348816.4348920	C1
chr1.4437633.4438338	C2
chr1.4566432.4566495	C3
chr1.4569273.4569353	C3
chr1.4645838.4646067	C2
chr1.4685597.4687208	C6
chr1.4696492.4696617	C6
chr1.4746356.4746513	C2
chr1.4878711.4878961	C3
chr1.4913541.4913653	C11
chr1.4935455.4935595	C6
chr1.4936072.4936185	C6
chr1.4936351.4936943	C6
chr1.4961447.4961798	C6
chr1.4988665.4988745	C6
chr1.4993688.4994073	C2
chr1.5035899.5036749	C6
chr1.5038238.5038410	C6
chr1.5067072.5067176	C2
chr1.5099818.5100323	C6
chr1.5234002.5234279	C6
chr1.5301679.5301982	C10
chr1.5317747.5317873	C10
chr1.5379182.5379500	C13
chr1.5382584.5382696	C1
chr1.5432261.5432408	C2
chr1.5557662.5557770	C1
chr1.5564163.5564312	C4
chr1.5566571.5566721	C5
chr1.5566904.5567093	C5
chr1.5572341.5573038	C3
chr1.5600980.5601099	C6
chr1.5619368.5619612	C3
chr1.5667711.5668039	C2
chr1.5742065.5742738	C5
chr1.5765425.5765736	C1
chr1.5778459.5778568	C3
chr1.5827130.5827208	C3
chr1.5827340.5827500	C3
chr1.5945367.5945440	C1
chr1.5973642.5973836	C6
chr1.5990165.5990234	C1
chr1.6006796.6007073	C2
chr1.6022409.6022629	C2
chr1.6036279.6036746	C6
chr1.6080725.6081454	C2
chr1.6099798.6099978	C2
chr1.6114055.6114366	C6
chr1.6148055.6148260	C1
chr1.6212503.6213041	C2
chr1.6236227.6236302	C1
chr1.6266016.6266187	C3
chr1.6299602.6300211	C3
chr1.6324720.6325022	C7
chr1.6462914.6462989	C3
chr1.6472693.6472848	C3
chr1.6505638.6505938	C1
chr1.6517288.6517437	C3
chr1.6544720.6544848	C3
chr1.6605867.6607120	C9
chr1.6735901.6736316	C2
chr1.6769639.6769762	C6
chr1.6776289.6776389	C2
chr1.6789737.6789844	C3
chr1.6806212.6806679	C2
chr1.6829060.6829243	C3
chr1.6832853.6832943	C1
chr1.6838868.6839271	C3
chr1.6917338.6917920	C6
chr1.6924532.6924669	C6
chr1.6964446.6964546	C1
chr1.7013485.7013554	C2
chr1.7064820.7065319	C7
chr1.7204433.7204580	C6
chr1.7204860.7205301	C6
chr1.7226023.7226139	C6
chr1.7226371.7226687	C6
chr1.7279342.7279480	C6
chr1.7321458.7321559	C3
chr1.7354730.7354819	C3
chr1.7367130.7367555	C10
chr1.7367677.7367814	C3
chr1.7388783.7388933	C6
chr1.7389130.7389747	C6
chr1.7466169.7466296	C1
chr1.7481921.7482298	C3
chr1.7535073.7535346	C6
chr1.7608109.7608235	C6
chr1.7626237.7626574	C1
chr1.7627297.7627917	C2
chr1.7701546.7701817	C6
chr1.7701944.7702517	C6
chr1.7733296.7734806	C6
chr1.7822404.7822560	C6
chr1.7822897.7823496	C6
chr1.7975788.7975920	C1
chr1.7977429.7977492	C3
chr1.8002910.8003571	C6
chr1.8034311.8034576	C3
chr1.8054654.8054749	C3
chr1.8054775.8054977	C3
chr1.8113866.8114267	C4
chr1.8157443.8158097	C6
chr1.8182751.8182930	C3
chr1.8185762.8185948	C10
chr1.8217239.8217463	C2
chr1.8251232.8251362	C6
chr1.8290917.8291030	C7
chr1.8304585.8304794	C7
chr1.8317533.8317923	C1
chr1.8641073.8641220	C1
chr1.8644549.8644904	C2
chr1.8664482.8664676	C3
chr1.8696927.8697043	C6
chr1.8710731.8711363	C1
chr1.8810959.8811156	C3
chr1.8830631.8830769	C1
chr1.8850073.8850383	C2
chr1.8929545.8929996	C6
chr1.8936776.8937066	C6
chr1.8983773.8983949	C1
chr1.9066752.9067106	C3
chr1.9083409.9084019	C1
chr1.9137097.9137327	C4
chr1.9142538.9142897	C1
chr1.9232574.9233640	C6
chr1.9239527.9239612	C1
chr1.9243347.9243549	C6
chr1.9315632.9315696	C3
chr1.9316369.9316498	C3
chr1.9400758.9400878	C2
chr1.9481402.9481740	C3
chr1.9481861.9482006	C3
chr1.9489313.9489495	C3
chr1.9497962.9498127	C2
chr1.9509251.9510430	C11
chr1.9510583.9510697	C7
chr1.9536752.9537339	C4
chr1.9537495.9537772	C6
chr1.9547946.9548056	C3
chr1.9561085.9561202	C3
chr1.9629854.9630020	C6
chr1.9682865.9683052	C2
chr1.9684384.9684455	C3
chr1.9735963.9736068	C3
chr1.9779619.9780651	C5
chr1.9783368.9783525	C5
chr1.9836150.9836214	C10
chr1.9868489.9868612	C2
chr1.9870148.9870602	C3
chr1.9916530.9916817	C3
chr1.9952433.9952743	C1
chr1.9953812.9953951	C5
chr1.9954415.9954492	C3
chr1.9968016.9968599	C6
chr1.9985295.9985899	C10
chr1.9998818.9999134	C6
chr1.10001251.10001375	C8
chr1.10006224.10006608	C10
chr1.10068039.10068355	C3
chr1.10111286.10111423	C9
chr1.10120529.10120633	C9
chr1.10177396.10177463	C3
chr1.10193713.10193847	C3
chr1.10215491.10216093	C6
chr1.10338157.10338314	C1
chr1.10376924.10377236	C4
chr1.10390306.10390642	C6
chr1.10390828.10391343	C6
chr1.10440421.10440647	C1
chr1.10451895.10452007	C10
chr1.10469671.10470196	C3
chr1.10500688.10500899	C6
chr1.10632994.10633236	C3
chr1.10635117.10636073	C2
chr1.10662742.10663043	C3
chr1.10789872.10789944	C14
chr1.10804754.10805685	C2
chr1.10829821.10830034	C2
chr1.10850841.10851601	C9
chr1.10869485.10869731	C2
chr1.10919634.10919998	C6
chr1.10920164.10920923	C6
chr1.10928221.10928350	C6
chr1.10949757.10950104	C6
chr1.10968810.10969645	C2
chr1.10995329.10995795	C9
chr1.11036982.11037372	C6
chr1.11131199.11131304	C3
chr1.11178951.11179621	C10
chr1.11227016.11227220	C6
chr1.11273180.11273831	C2
chr1.11273974.11274616	C6
chr1.11294506.11294832	C1
chr1.11336366.11337082	C3
chr1.11363554.11363739	C6
chr1.11399860.11400015	C1
chr1.11410182.11410366	C3
chr1.11454938.11455061	C3
chr1.11455264.11455737	C2
chr1.11467551.11467869	C1
chr1.11479744.11480054	C2
chr1.11494309.11494499	C2
chr1.11663558.11663676	C9
chr1.11698276.11698869	C6
chr1.11717309.11717462	C3
chr1.11737083.11737716	C10
chr1.11745793.11745923	C2
chr1.11774729.11775095	C6
chr1.11796445.11796687	C10
chr1.11797497.11797858	C9
chr1.11810263.11811017	C6
chr1.11811120.11811381	C6
chr1.11828215.11828410	C2
chr1.11909394.11909550	C6
chr1.11930937.11931042	C6
chr1.11931283.11931764	C6
chr1.11931863.11932258	C6
chr1.11941035.11941163	C2
chr1.11962279.11962496	C3
chr1.11967752.11967931	C3
chr1.12010088.12010313	C3
chr1.12011632.12011848	C6
chr1.12068994.12069198	C3
chr1.12084177.12084252	C3
chr1.12084348.12084439	C3
chr1.12200724.12201964	C6
chr1.12218118.12218289	C6
chr1.12218396.12219315	C6
chr1.12315322.12315461	C3
chr1.12349827.12349896	C1
chr1.12353434.12354260	C3
chr1.12372369.12373890	C6
chr1.12374058.12374309	C6
chr1.12401126.12401330	C2
chr1.12434837.12435226	C9
chr1.12463738.12464073	C6
chr1.12538693.12538805	C2
chr1.12552626.12552696	C3
chr1.12553051.12553257	C3
chr1.12590653.12590763	C1
chr1.12631765.12631916	C6
chr1.12640325.12640717	C3
chr1.12707289.12708205	C2
chr1.12708853.12709624	C1
chr1.12721285.12721524	C6
chr1.12737785.12737955	C6
chr1.12742382.12742605	C6
chr1.12810398.12810518	C1
chr1.12837680.12837829	C6
chr1.12838088.12838330	C6
chr1.12838487.12838998	C6
chr1.12938129.12938212	C1
chr1.13006334.13006771	C3
chr1.13006969.13007120	C3
chr1.13007294.13007664	C3
chr1.13010093.13010243	C9
chr1.13070061.13070130	C9
chr1.13072835.13073075	C2
chr1.13079072.13079435	C9
chr1.13089851.13090215	C2
chr1.13090344.13090410	C2
chr1.13094299.13094389	C1
chr1.13094595.13094691	C3
chr1.13101990.13102059	C2
chr1.13117843.13118164	C2
chr1.13121758.13122354	C9
chr1.13126517.13126828	C2
chr1.13159584.13159777	C2
chr1.13160062.13161101	C2
chr1.13168339.13168569	C1
chr1.13276555.13277171	C1
chr1.13282823.13283005	C3
chr1.13301650.13301827	C2
chr1.13322302.13322408	C3
chr1.13372384.13372483	C3
chr1.13401382.13401997	C3
chr1.13426401.13426651	C3
chr1.13589143.13589311	C9
chr1.13606094.13606197	C4
chr1.13666420.13666635	C1
chr1.13691466.13691541	C2
chr1.13723875.13724490	C6
chr1.13734637.13734796	C6
chr1.13777963.13778172	C6
chr1.13778687.13778942	C6
chr1.13779310.13779483	C6
chr1.13800692.13800911	C3
chr1.13857811.13857987	C2
chr1.13916198.13917441	C3
chr1.13999815.13999889	C3
chr1.14050337.14050454	C11
chr1.14070571.14070822	C3
chr1.14204453.14204520	C2
chr1.14255371.14255645	C1
chr1.14269844.14270090	C3
chr1.14437866.14438768	C5
chr1.14512932.14513116	C7
chr1.14513601.14513888	C4
chr1.14525149.14525397	C6
chr1.14598456.14598676	C3
chr1.14651993.14652359	C3
chr1.14657324.14657531	C3
chr1.14658323.14658402	C1
chr1.14670501.14670643	C6
chr1.14760154.14760247	C3
chr1.14771633.14771823	C3
chr1.14775864.14776423	C3
chr1.14971570.14971759	C3
chr1.14975446.14975574	C3
chr1.15065556.15065802	C6
chr1.15088745.15088898	C14
chr1.15123997.15124370	C2
chr1.15156220.15156853	C1
chr1.15157005.15157461	C1
chr1.15163394.15163554	C1
chr1.15164268.15164880	C1
chr1.15202599.15202920	C5
chr1.15219614.15219722	C3
chr1.15222122.15222224	C4
chr1.15266297.15266573	C1
chr1.15300245.15300423	C3
chr1.15313547.15314024	C14
chr1.15447151.15447417	C3
chr1.15460453.15460939	C2
chr1.15467418.15467665	C6
chr1.15468045.15468409	C6
chr1.15472509.15472718	C3
chr1.15561315.15561497	C3
chr1.15584949.15585057	C3
chr1.15682905.15683024	C3
chr1.15697331.15697732	C2
chr1.15712496.15712759	C11
chr1.15749674.15750084	C6
chr1.15779956.15780070	C1
chr1.15890181.15890297	C4
chr1.15914444.15914593	C4
chr1.15933723.15934326	C10
chr1.15950934.15951028	C3
chr1.16001392.16001508	C1
chr1.16002038.16002103	C1
chr1.16002413.16002512	C1
chr1.16005688.16006041	C9
chr1.16014355.16014479	C6
chr1.16033501.16033598	C3
chr1.16058511.16058592	C3
chr1.16062709.16062818	C3
chr1.16206295.16206444	C2
chr1.16237285.16237352	C1
chr1.16241161.16241331	C3
chr1.16249737.16249882	C2
chr1.16278648.16278787	C1
chr1.16309153.16309274	C2
chr1.16418431.16418769	C7
chr1.16419165.16419728	C1
chr1.16433393.16433779	C1
chr1.16446842.16446930	C3
chr1.16485093.16485415	C6
chr1.16485790.16486371	C2
chr1.16549898.16550008	C3
chr1.16613539.16613619	C3
chr1.16618530.16618889	C4
chr1.16654220.16655356	C6
chr1.16666802.16668493	C2
chr1.16691395.16691697	C2
chr1.16697612.16698016	C7
chr1.16723392.16723970	C2
chr1.16903741.16904012	C9
chr1.17030333.17030428	C3
chr1.17091164.17091887	C13
chr1.17120700.17120801	C1
chr1.17120930.17121069	C2
chr1.17238425.17238543	C1
chr1.17289929.17290332	C3
chr1.17419814.17420042	C3
chr1.17423292.17423477	C3
chr1.17517064.17517322	C2
chr1.17536819.17536945	C5
chr1.17756697.17757066	C1
chr1.17758443.17759079	C6
chr1.17804973.17805084	C2
chr1.17805276.17805973	C6
chr1.17806120.17806512	C6
chr1.17910013.17910365	C6
chr1.17919378.17919823	C6
chr1.17941251.17941668	C3
chr1.18011292.18011911	C3
chr1.18012031.18012099	C3
chr1.18018800.18019097	C5
chr1.18064221.18064295	C12
chr1.18119831.18121789	C2
chr1.18227100.18227244	C6
chr1.18245761.18247489	C6
chr1.18300139.18300291	C1
chr1.18409500.18409628	C15
chr1.18443580.18444280	C3
chr1.18450321.18450577	C3
chr1.18465846.18466006	C2
chr1.18505704.18505866	C2
chr1.18552366.18552498	C3
chr1.18558208.18558441	C3
chr1.18582794.18583462	C6
chr1.18617681.18617846	C6
chr1.18618060.18618324	C6
chr1.18642310.18642541	C3
chr1.18644833.18645384	C3
chr1.18736812.18736929	C2
chr1.18754258.18754384	C9
chr1.18831488.18831633	C3
chr1.18850647.18850862	C3
chr1.18861034.18861104	C3
chr1.18929578.18929854	C2
chr1.18936756.18936863	C1
chr1.18946235.18946504	C3
chr1.18979804.18981419	C6
chr1.19040496.19040671	C2
chr1.19040798.19040959	C2
chr1.19050489.19051234	C1
chr1.19075478.19075773	C3
chr1.19287802.19287897	C3
chr1.19346501.19346826	C6
chr1.19346962.19348087	C6
chr1.19407861.19408137	C6
chr1.19415637.19416787	C6
chr1.19439761.19439882	C3
chr1.19511790.19511887	C1
chr1.19516260.19516384	C3
chr1.19529075.19529172	C1
chr1.19717400.19717769	C3
chr1.19750867.19751008	C1
chr1.19755271.19755578	C2
chr1.19755849.19756005	C6
chr1.19768771.19768919	C3
chr1.19814856.19816154	C1
chr1.19816254.19816847	C1
chr1.19826433.19826582	C6
chr1.19846982.19847246	C5
chr1.19858731.19858935	C1
chr1.19999529.19999640	C3
chr1.20003315.20003742	C3
chr1.20009322.20009921	C3
chr1.20015270.20015503	C3
chr1.20097315.20097485	C3
chr1.20142436.20144519	C2
chr1.20154536.20154807	C2
chr1.20191269.20191421	C2
chr1.20219762.20219877	C3
chr1.20225486.20225981	C1
chr1.20272114.20272901	C8
chr1.20305361.20305608	C3
chr1.20306471.20307126	C7
