X	Class	df2[, sub.com3$motif]
chr1.15088745.15088898	pos	0
chr1.27668428.27668605	pos	0
chr2.16101179.16101398	pos	0
chr2.16112719.16112813	pos	0
chr2.25330410.25330496	pos	1
chr2.25330625.25330788	pos	1
chr3.2824636.2824931	pos	0
chr3.3434058.3434153	pos	0
chr3.14095967.14096056	pos	0
chr3.23961499.23961857	pos	1
chr3.24852349.24853734	pos	1
chr4.24746817.24746894	pos	0
chr5.8850737.8851596	pos	1
chr5.15225735.15225832	pos	0
chr5.18748533.18748863	pos	1
chr7.17299629.17299700	pos	0
chr8.3493729.3493826	pos	0
chr8.11255350.11255548	pos	0
chr8.16004952.16005089	pos	0
chr1.3595500.3596000	neg	0
chr1.29632500.29633000	neg	0
chr2.7394000.7394500	neg	0
chr2.16707500.16708000	neg	0
chr2.23777500.23778000	neg	0
chr3.3733000.3733500	neg	0
chr3.4558500.4559000	neg	0
chr3.4888000.4888500	neg	0
chr3.24986000.24986500	neg	0
chr4.20821500.20822000	neg	0
chr5.10175500.10176000	neg	0
chr6.3915500.3916000	neg	0
chr6.8418500.8419000	neg	0
chr6.9891500.9892000	neg	0
chr6.10356000.10356500	neg	0
chr7.3289500.3290000	neg	0
chr7.20990000.20990500	neg	0
chr8.11544500.11545000	neg	0
chr8.15151500.15152000	neg	0
