peak	Class	H2Aub	H2AZ	H3	H3K4me1	H3K4me3	H3K9ac	H3K9me1	H3K14ac	H3K27me1	H3K27me3	H3K36me3
chr1.515080.515372	pos	0	1	0	1	1	0	0	1	0	0	1
chr1.540997.541172	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.633330.634226	pos	1	1	1	1	1	1	0	1	0	0	1
chr1.634388.634580	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.907640.907880	pos	0	0	1	1	0	0	0	0	0	0	1
chr1.947419.947561	pos	0	0	1	1	0	0	1	1	1	0	0
chr1.997298.997645	pos	0	0	1	0	0	0	0	0	1	0	0
chr1.1372344.1372579	pos	1	1	0	1	1	0	0	1	1	0	0
chr1.1882807.1882914	pos	0	0	0	1	1	0	0	0	0	0	1
chr1.1886576.1887370	pos	0	0	1	1	1	0	1	0	0	0	1
chr1.2004779.2004887	pos	0	1	1	0	0	0	1	0	1	0	0
chr1.2097170.2097394	pos	1	0	0	0	1	1	0	0	0	0	1
chr1.2140761.2141400	pos	0	1	0	0	1	1	0	1	1	0	1
chr1.2263263.2263412	pos	0	1	1	1	1	1	1	1	0	0	1
chr1.2311757.2313616	pos	0	0	1	1	1	1	0	1	0	0	1
chr1.2330915.2331042	pos	1	1	0	0	1	0	0	0	0	0	0
chr1.2370104.2370329	pos	0	1	1	1	1	1	1	1	0	0	1
chr1.2834403.2836354	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.2997366.2997481	pos	0	0	1	1	1	1	0	1	0	0	1
chr1.3073637.3073841	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.3191126.3191298	pos	0	0	0	0	0	1	0	0	0	0	1
chr1.3213013.3213578	pos	1	1	1	1	1	1	0	1	1	0	0
chr1.3313365.3313593	pos	0	0	0	1	1	1	1	1	0	0	1
chr1.3522924.3523767	pos	1	1	0	1	1	0	0	0	0	1	0
chr1.3655502.3655684	pos	0	1	1	1	0	0	1	0	0	0	0
chr1.4268010.4268411	pos	0	1	1	1	0	0	1	0	0	0	1
chr1.4268623.4268773	pos	0	1	1	1	0	0	1	0	0	0	1
chr1.4323904.4324019	pos	0	1	0	1	1	1	1	1	0	0	1
chr1.4685597.4687208	pos	0	0	0	1	0	0	1	0	0	0	1
chr1.4696492.4696617	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.4935455.4935595	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.4936072.4936185	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.4936351.4936943	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.4961447.4961798	pos	0	1	1	1	1	0	1	0	1	0	1
chr1.4988665.4988745	pos	0	1	1	1	0	0	1	1	1	1	0
chr1.5035899.5036749	pos	1	1	0	1	1	1	0	1	1	0	0
chr1.5038238.5038410	pos	1	1	0	1	1	1	1	1	1	0	0
chr1.5099818.5100323	pos	0	1	0	0	0	1	1	1	1	0	1
chr1.5234002.5234279	pos	0	0	0	0	1	1	0	0	0	0	1
chr1.5600980.5601099	pos	0	1	0	1	0	0	1	1	1	0	1
chr1.5973642.5973836	pos	0	1	1	1	0	0	1	1	0	0	1
chr1.6036279.6036746	pos	0	0	0	1	1	1	0	0	0	0	1
chr1.6114055.6114366	pos	1	1	0	0	1	1	0	1	0	0	1
chr1.6769639.6769762	pos	0	1	0	1	1	0	1	0	0	0	1
chr1.6917338.6917920	pos	0	0	0	1	0	0	1	0	0	0	1
chr1.6924532.6924669	pos	0	1	1	1	1	0	1	1	1	0	1
chr1.7204433.7204580	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.7204860.7205301	pos	0	1	0	1	1	1	1	1	0	0	1
chr1.7226023.7226139	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.7226371.7226687	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.7279342.7279480	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.7388783.7388933	pos	0	0	0	1	0	1	0	0	0	0	1
chr1.7389130.7389747	pos	0	0	0	1	0	1	1	1	1	0	1
chr1.7535073.7535346	pos	1	1	0	1	0	1	1	1	1	0	0
chr1.7608109.7608235	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.7701546.7701817	pos	0	0	1	1	0	0	1	0	1	0	1
chr1.7701944.7702517	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.7733296.7734806	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.7822404.7822560	pos	0	0	0	0	0	0	1	0	1	0	1
chr1.7822897.7823496	pos	0	0	0	0	0	0	1	0	1	0	1
chr1.8002910.8003571	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.8157443.8158097	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.8251232.8251362	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.8696927.8697043	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.8929545.8929996	pos	0	1	0	1	0	0	1	1	0	0	1
chr1.8936776.8937066	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.9232574.9233640	pos	0	0	0	1	1	0	1	1	0	0	1
chr1.9243347.9243549	pos	0	0	1	1	0	0	0	0	0	0	1
chr1.9537495.9537772	pos	1	0	1	0	1	1	0	0	0	1	0
chr1.9629854.9630020	pos	0	1	0	1	0	0	0	1	0	0	1
chr1.9968016.9968599	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.9998818.9999134	pos	0	1	0	1	0	1	1	1	1	0	1
chr1.10215491.10216093	pos	0	0	0	1	0	0	1	1	1	0	1
chr1.10390306.10390642	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.10390828.10391343	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.10500688.10500899	pos	0	1	1	1	1	1	1	1	1	0	1
chr1.10919634.10919998	pos	0	1	0	1	0	1	0	1	0	0	1
chr1.10920164.10920923	pos	0	1	0	1	0	1	0	1	0	0	1
chr1.10928221.10928350	pos	0	0	1	1	1	0	0	1	0	0	1
chr1.10949757.10950104	pos	0	1	1	1	1	1	1	1	1	0	1
chr1.11036982.11037372	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.11227016.11227220	pos	1	0	0	0	1	0	0	0	0	1	0
chr1.11273974.11274616	pos	0	1	0	1	1	0	0	1	0	0	1
chr1.11363554.11363739	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.11698276.11698869	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.11774729.11775095	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.11810263.11811017	pos	0	1	0	1	1	1	1	1	0	0	1
chr1.11811120.11811381	pos	0	0	1	1	0	1	0	0	0	0	1
chr1.11909394.11909550	pos	1	1	0	1	1	0	0	1	0	0	0
chr1.11930937.11931042	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.11931283.11931764	pos	0	1	0	1	1	0	0	1	0	0	1
chr1.11931863.11932258	pos	1	1	0	1	1	0	0	1	0	0	1
chr1.12011632.12011848	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.12200724.12201964	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.12218118.12218289	pos	0	1	0	1	1	0	0	0	0	0	1
chr1.12218396.12219315	pos	0	0	0	1	1	1	0	0	0	0	1
chr1.12372369.12373890	pos	0	1	0	1	1	1	1	1	1	0	1
chr1.12374058.12374309	pos	0	1	0	0	1	1	0	1	0	0	1
chr1.12463738.12464073	pos	1	1	0	1	1	1	0	1	1	0	0
chr1.12631765.12631916	pos	1	1	0	0	1	1	0	0	0	0	0
chr1.12721285.12721524	pos	0	0	1	1	1	1	0	1	0	0	1
chr1.12737785.12737955	pos	0	0	0	0	0	1	0	0	0	0	1
chr1.12742382.12742605	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.12837680.12837829	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.12838088.12838330	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.12838487.12838998	pos	0	0	0	1	0	0	1	0	0	0	1
chr1.13723875.13724490	pos	0	0	1	0	1	1	0	1	0	0	0
chr1.13734637.13734796	pos	0	1	0	1	1	1	1	0	1	0	1
chr1.13777963.13778172	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.13778687.13778942	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.13779310.13779483	pos	0	0	0	1	0	0	0	1	0	0	1
chr1.14525149.14525397	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.14670501.14670643	pos	0	0	0	1	1	0	0	0	0	0	1
chr1.15065556.15065802	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.15467418.15467665	pos	0	1	1	1	0	1	1	1	0	0	1
chr1.15468045.15468409	pos	0	0	0	1	0	1	0	0	0	0	1
chr1.15749674.15750084	pos	0	1	1	1	1	1	0	1	0	1	1
chr1.16014355.16014479	pos	1	1	0	0	1	1	0	1	0	0	0
chr1.16485093.16485415	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.16654220.16655356	pos	0	0	1	1	1	0	0	0	0	0	1
chr1.17758443.17759079	pos	1	0	0	0	1	1	0	0	0	1	0
chr1.17805276.17805973	pos	1	1	0	1	1	1	0	1	1	0	1
chr1.17806120.17806512	pos	1	1	0	1	1	1	0	0	0	0	1
chr1.17910013.17910365	pos	1	1	1	1	1	1	0	1	0	0	1
chr1.17919378.17919823	pos	1	1	0	0	1	1	0	1	0	0	1
chr1.18227100.18227244	pos	1	1	1	1	1	1	0	1	0	1	0
chr1.18245761.18247489	pos	0	1	0	1	1	0	1	1	1	0	1
chr1.18582794.18583462	pos	0	1	0	1	1	1	1	1	0	0	1
chr1.18617681.18617846	pos	1	0	0	0	1	1	0	1	0	0	0
chr1.18618060.18618324	pos	1	1	0	1	1	1	0	1	0	0	1
chr1.18979804.18981419	pos	1	1	1	1	1	1	1	1	1	0	1
chr1.19346501.19346826	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.19346962.19348087	pos	0	0	0	1	0	1	1	1	0	0	1
chr1.19407861.19408137	pos	0	1	0	1	0	1	1	1	0	0	1
chr1.19415637.19416787	pos	1	1	0	1	1	1	1	0	0	0	1
chr1.19755849.19756005	pos	0	0	1	1	1	1	1	1	1	0	1
chr1.19826433.19826582	pos	0	0	1	1	0	0	0	1	0	0	1
chr1.20336389.20336672	pos	0	0	0	1	1	0	0	0	0	0	1
chr1.20363031.20363257	pos	1	0	0	1	1	0	0	1	0	0	1
chr1.20363668.20364144	pos	0	1	0	1	1	0	0	1	0	0	1
chr1.20789766.20791397	pos	0	1	1	1	1	1	1	1	1	0	1
chr1.20894230.20894387	pos	0	0	0	1	0	1	0	0	0	0	1
chr1.20905732.20905839	pos	1	1	0	1	0	0	1	1	1	0	0
chr1.20906334.20906531	pos	1	1	0	1	1	0	0	1	0	0	0
chr1.21005811.21006265	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.21111729.21111891	pos	0	0	1	1	0	1	0	1	0	0	1
chr1.21177593.21177949	pos	1	1	0	1	1	1	1	1	1	0	1
chr1.21323757.21324507	pos	0	1	0	1	0	0	1	0	0	0	1
chr1.21340821.21340948	pos	1	1	1	0	1	1	0	1	0	0	1
chr1.21373532.21373888	pos	1	1	1	1	1	0	0	1	0	0	1
chr1.21419311.21419416	pos	0	0	0	1	0	0	0	0	0	0	1
chr1.21419946.21420178	pos	0	1	0	1	0	0	0	1	0	0	1
chr1.21469545.21469938	pos	0	0	0	1	0	1	0	0	0	0	0
chr1.21470065.21470167	pos	0	0	0	1	0	1	0	0	0	0	0
chr1.21496172.21496383	pos	0	0	0	1	0	1	0	0	0	0	1
chr1.21696131.21696255	pos	0	0	0	1	0	1	1	1	0	0	1
chr1.22247087.22247287	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.22247415.22247589	pos	0	1	0	1	1	1	0	1	0	0	1
chr1.22302302.22302762	pos	0	0	1	1	0	1	0	0	0	0	1
chr1.22303117.22303223	pos	0	0	1	1	0	1	0	0	0	0	1
chr1.23194695.23194792	pos	1	1	0	1	1	1	0	0	0	0	0
chr1.23729891.23730041	pos	0	1	0	1	1	1	0	0	0	0	1
chr1.23794598.23794745	pos	1	1	1	0	1	0	0	1	0	0	0
chr1.24077168.24077271	pos	0	1	0	1	0	1	1	1	1	0	1
chr1.24270519.24270640	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.24322202.24322681	pos	0	0	1	1	0	1	0	1	0	0	1
chr1.24392203.24392302	pos	1	1	0	0	1	1	1	1	1	0	0
chr1.24693808.24694867	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.25164773.25165424	pos	0	1	0	1	1	1	1	0	0	0	1
chr1.25254600.25255483	pos	0	0	0	1	0	0	1	1	0	0	1
chr1.25255609.25256021	pos	0	0	0	1	1	0	0	1	0	0	1
chr1.25669980.25671187	pos	1	1	0	1	1	1	0	1	1	0	1
chr1.25672565.25672948	pos	1	1	0	1	1	0	0	1	0	0	1
chr1.26081190.26081394	pos	1	1	0	1	1	0	1	1	1	0	0
chr1.26113159.26113324	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.26352785.26353117	pos	0	1	1	1	0	1	1	0	1	0	0
chr1.26536495.26537005	pos	0	0	1	1	0	0	1	0	0	0	1
chr1.26537235.26537574	pos	0	1	1	1	0	0	1	0	1	0	1
chr1.26537676.26537973	pos	0	1	1	1	0	0	1	0	1	0	1
chr1.26572190.26573249	pos	0	0	1	1	0	0	0	1	0	0	1
chr1.26583436.26584157	pos	1	1	0	0	1	1	1	1	1	0	1
chr1.26687149.26687743	pos	0	0	1	1	0	0	1	1	0	0	1
chr1.26741689.26741788	pos	0	0	1	1	0	0	0	0	0	0	1
chr1.26770487.26770611	pos	0	0	1	0	1	1	0	1	0	0	1
chr1.27237645.27239076	pos	1	0	0	1	1	1	0	1	0	0	1
chr1.27444891.27445005	pos	0	1	0	1	1	1	0	1	1	0	1
chr1.27445104.27445526	pos	0	1	1	1	1	1	1	1	1	0	1
chr1.27522566.27522719	pos	0	0	0	1	1	1	0	1	0	0	1
chr1.27695022.27695250	pos	0	1	1	1	1	0	0	1	0	0	1
chr1.27765353.27765445	pos	0	1	0	1	0	0	0	1	0	0	1
chr1.27765816.27766570	pos	0	1	0	1	0	0	0	1	0	0	1
chr1.27766731.27767222	pos	0	1	0	1	0	0	0	1	0	0	1
chr1.28067209.28068075	pos	0	1	0	1	0	1	0	1	0	0	1
chr1.28074377.28075819	pos	0	1	1	1	1	1	0	1	0	0	1
chr1.28086648.28086759	pos	0	0	0	1	0	1	0	1	0	0	1
chr1.28107043.28107580	pos	0	1	0	1	1	1	1	1	0	0	1
chr1.28228644.28229817	pos	1	1	0	1	1	1	1	1	1	0	0
chr1.28856152.28856267	pos	1	0	0	0	1	1	0	0	0	0	1
chr1.29149962.29150830	pos	0	1	0	1	1	0	1	1	0	0	1
