site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id
10	61275282	61275288	C3_Homeobox_14	1.5647	-	10	61275342	61275348	C3_C2H2_40	1.40409	+	54	divergent												
10	65978903	65978909	C3_Homeobox_14	1.15615	-	10	65978982	65978988	C3_C2H2_40	1.6061	+	73	divergent												
10	65980107	65980113	C3_C2H2_40	1.26583	+	10	65980160	65980166	C3_Homeobox_14	1.13874	+	47	TF1-TF2												
10	65980146	65980152	C3_C2H2_40	1.26583	+	10	65980160	65980166	C3_Homeobox_14	1.13874	+	8	TF1-TF2												
11	2490585	2490591	C3_C2H2_40	1.57495	+	11	2490618	2490624	C3_Homeobox_14	1.76547	+	27	TF1-TF2												
11	2490585	2490591	C3_Homeobox_14	1.57495	+	11	2490618	2490624	C3_C2H2_40	1.76547	+	27	TF1-TF2												
11	10982080	10982086	C3_C2H2_40	1.88888	+	11	10982102	10982108	C3_Homeobox_14	1.93491	+	16	TF1-TF2												
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805094	53805100	C3_Homeobox_14	2.21998	-	32	TF2-TF1												
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805159	53805165	C3_Homeobox_14	2.56168	-	97	TF2-TF1												
11	53805094	53805100	C3_Homeobox_14	2.21998	-	11	53805102	53805108	C3_C2H2_40	2.46175	-	2	TF2-TF1												
11	53805094	53805100	C3_Homeobox_14	2.21998	-	11	53805114	53805120	C3_C2H2_40	2.67101	-	14	TF2-TF1												
11	53805094	53805100	C3_Homeobox_14	2.21998	-	11	53805144	53805150	C3_C2H2_40	2.54601	+	44	divergent												
11	53805094	53805100	C3_Homeobox_14	2.21998	-	11	53805159	53805165	C3_C2H2_40	2.56168	-	59	TF2-TF1												
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805159	53805165	C3_Homeobox_14	2.56168	-	51	TF2-TF1												
11	53805114	53805120	C3_C2H2_40	2.67101	-	11	53805159	53805165	C3_Homeobox_14	2.56168	-	39	TF2-TF1												
11	53805144	53805150	C3_C2H2_40	2.54601	+	11	53805159	53805165	C3_Homeobox_14	2.56168	-	9	convergent												
11	56485299	56485305	C3_Homeobox_14	2.16073	-	11	56485305	56485311	C3_C2H2_40	1.98279	+	0	divergent												
11	57256643	57256649	C3_C2H2_40	3.24357	+	11	57256657	57256663	C3_Homeobox_14	3.05298	-	8	convergent												
11	57256643	57256649	C3_C2H2_40	3.24357	+	11	57256728	57256734	C3_Homeobox_14	3.31546	+	79	TF1-TF2												
11	57256655	57256661	C3_C2H2_40	3.05298	+	11	57256728	57256734	C3_Homeobox_14	3.31546	+	67	TF1-TF2												
11	57256858	57256864	C3_Homeobox_14	3.1901	+	11	57256903	57256909	C3_C2H2_40	3.00112	+	39	TF1-TF2												
11	57257269	57257275	C3_C2H2_40	2.24932	+	11	57257336	57257342	C3_Homeobox_14	2.58694	+	61	TF1-TF2												
11	57257336	57257342	C3_Homeobox_14	2.58694	+	11	57257395	57257401	C3_C2H2_40	2.99794	+	53	TF1-TF2												
12	6081547	6081553	C3_C2H2_40	2.70304	-	12	6081582	6081588	C3_Homeobox_14	2.46869	+	29	divergent												
2	7657236	7657242	C3_C2H2_40	2.11769	+	2	7657304	7657310	C3_Homeobox_14	1.65944	+	62	TF1-TF2												
2	7657304	7657310	C3_Homeobox_14	1.65944	+	2	7657317	7657323	C3_C2H2_40	1.65634	-	7	convergent												
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792273	48792279	C3_Homeobox_14	2.43788	-	24	TF2-TF1												
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792284	48792290	C3_Homeobox_14	2.5889	+	35	divergent												
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792308	48792314	C3_Homeobox_14	2.40209	+	59	divergent												
2	48792273	48792279	C3_Homeobox_14	2.43788	-	2	48792286	48792292	C3_C2H2_40	2.56375	-	7	TF2-TF1												
2	48792286	48792292	C3_C2H2_40	2.56375	-	2	48792308	48792314	C3_Homeobox_14	2.40209	+	16	divergent												
2	51083459	51083465	C3_C2H2_40	1.79501	+	2	51083468	51083474	C3_Homeobox_14	1.69761	+	3	TF1-TF2												
2	51084256	51084262	C3_C2H2_40	2.50147	+	2	51084324	51084330	C3_Homeobox_14	2.09673	+	62	TF1-TF2												
2	51085716	51085722	C3_Homeobox_14	2.95379	-	2	51085812	51085818	C3_C2H2_40	3.07111	+	90	divergent												
