geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g14470	C4	C3	chr1.14771633.14771823	chr1	14771633	14771823	191	373
Mp2g10120	C4	C3	chr2.10350303.10350503	chr2	10350303	10350503	201	-38
Mp2g10510	C4	C3	chr2.10771506.10771903	chr2	10771506	10771903	398	0
Mp2g11300	C4	C3	chr2.11552244.11552362	chr2	11552244	11552362	119	87
Mp2g11660	C4	C3	chr2.11856852.11856946	chr2	11856852	11856946	95	-1308
Mp3g01200	C4	C3	chr3.1415121.1415264	chr3	1415121	1415264	144	0
Mp3g10370	C4	C3	chr3.10029641.10030149	chr3	10029641	10030149	509	0
Mp4g17360	C4	C3	chr4.19752093.19752244	chr4	19752093	19752244	152	-77
Mp5g06150	C4	C3	chr5.6497454.6497564	chr5	6497454	6497564	111	235
Mp5g13430	C4	C3	chr5.14674770.14675157	chr5	14674770	14675157	388	-1078
Mp5g18870	C4	C3	chr5.19926313.19926409	chr5	19926313	19926409	97	432
Mp5g22190	C4	C3	chr5.24008572.24008750	chr5	24008572	24008750	179	0
Mp6g05850	C4	C3	chr6.6337078.6337830	chr6	6337078	6337830	753	-113
Mp7g12820	C4	C3	chr7.14131589.14131711	chr7	14131589	14131711	123	0
Mp8g05680	C4	C3	chr8.6474509.6474627	chr8	6474509	6474627	119	21
Mp8g06520	C4	C3	chr8.7443682.7443791	chr8	7443682	7443791	110	0
