geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp3g06490	C4	C6	chr3.6365809.6366668	chr3	6365809	6366668	860	0
Mp3g06510	C4	C6	chr3.6378367.6378623	chr3	6378367	6378623	257	-1127
Mp4g02360	C4	C6	chr4.2685507.2685731	chr4	2685507	2685731	225	-513
Mp5g04520	C4	C6	chr5.4995375.4995560	chr5	4995375	4995560	186	745
Mp5g04750	C4	C6	chr5.5232278.5232407	chr5	5232278	5232407	130	-529
Mp6g02280	C4	C6	chr6.2662641.2663201	chr6	2662641	2663201	561	-1227
Mp6g10340	C4	C6	chr6.11529090.11529361	chr6	11529090	11529361	272	-935
Mp6g13190	C4	C6	chr6.14456727.14457548	chr6	14456727	14457548	822	0
Mp6g17320	C4	C6	chr6.18884149.18885372	chr6	18884149	18885372	1224	-773
Mp7g13750	C4	C6	chr7.15323988.15324314	chr7	15323988	15324314	327	-1492
Mp8g16390	C4	C6	chr8.18411212.18411543	chr8	18411212	18411543	332	487
Mp8g16390	C4	C6	chr8.18411819.18413257	chr8	18411819	18413257	1439	0
