ID	TF	description	family
Mp1g01010	MpHD9	transcription factor, HD	HD
Mp1g01110	MpBHLH33	transcription factor, bHLH	bHLH
Mp1g01160	MpBHLH34	transcription factor, bHLH	bHLH
Mp1g01670	MpALFIN1	transcription factor, Alfin1-like	Alfin1-like
Mp1g02250	MpC2H2-6	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp1g02320	MpHD8	transcription factor, HD	HD
Mp1g02890	MpE2F	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp1g03040	MpTRIHELIX25	transcription factor, Trihelix	Trihelix
Mp1g03100	MpTRIHELIX26	transcription factor, Trihelix	Trihelix
Mp1g03270	MpLIM1	transcription factor, LIM-domain	LIM-domain
Mp1g03580	MpBZIP15	transcription factor, bZIP	bZIP
Mp1g03950	MpGATA2	transcription factor, GATA	GATA
Mp1g04040	MpCSD	transcription factor, CSD	CSD
Mp1g04480	MpHD1	transcription factor, HD	HD
Mp1g04550	MpCCAAT-NFYC1	transcription factor, CCAAT-NFYC	CCAAT-NFYC
Mp1g05310	MpGATA1	transcription factor, GATA	GATA
Mp1g06180	MpTRIHELIX18	transcription factor, Trihelix	Trihelix
Mp1g07040	Mp1R-MYB12	transcription factor, MYB	MYB
Mp1g07350	MpARID-HMGBOX	transcription factor, ARID-HMGbox	ARID-HMGbox
Mp1g08640	Mp3R-MYB1	transcription factor, MYB	MYB
Mp1g08660	MpNFX1-1	transcription factor, NF-X1	NF-X1
Mp1g08890	MpWRKY5	transcription factor, WRKY	WRKY
Mp1g08960	MpWRKY6	transcription factor, WRKY	WRKY
Mp1g09420	MpR2R3-MYB17	transcription factor, MYB	MYB
Mp1g09500	MpIDDL6	transcription factor, IDD-related	IDD-related
Mp1g10030	MpSPL2	SQUAMOSA PROMOTER BINDING-LIKE, transcription factor	SPL
Mp1g10310	MpCDC5	transcription factor, MYB	MYB
Mp1g10330	Mp1R-MYB6	transcription factor, MYB	MYB
Mp1g10440	MpGRAS3	transcription factor, GRAS	GRAS
Mp1g11660	MpHD6	transcription factor, HD	HD
Mp1g12700	MpBZIP6	transcription factor, bZIP	bZIP
Mp1g13010	MpDUO1	R2R3-myb transcription factor, ortholog of Arabidopsis thaliana DUO1	R2R3-MYB
Mp1g13260	MpBZR2	transcription factor, BZR/BES	BZR/BES
Mp1g13450	MpC2H2-5	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp1g13740	MpCCAAT-NFYA	transcription factor, CCAAT-NFYA	CCAAT-NFYA
Mp1g14500	MpASLBD15	transcription factor, ASL/LBD	ASL/LBD
Mp1g14520	MpC2H2-17	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp1g15660	MpIDDL2	transcription factor, IDD-related	IDD-related
Mp1g16560	MpHD11	transcription factor, HD	HD
Mp1g16790	MpTRIHELIX1	transcription factor, Trihelix	Trihelix
Mp1g16800	MpBZIP1	transcription factor, bZIP	bZIP
Mp1g17210	MpR2R3-MYB1	transcription factor, MYB	MYB
Mp1g18540	MpCDF	transcription factor, Dof	Dof
Mp1g19210	MpBHLH27	transcription factor, bHLH	bHLH
Mp1g19590	MpTCP2	bHLH transcription factor	bHLH
Mp1g19730	MpTRIHELIX2	transcription factor, Trihelix	Trihelix
Mp1g20490	MpGRAS1	transcription factor, GRAS	GRAS
Mp1g21450	MpRR-MYB1	transcription factor, MYB	MYB
Mp1g22880	MpGRAS8	transcription factor, GRAS	GRAS
Mp1g23310	MpTRIHELIX22	transcription factor, Trihelix	Trihelix
Mp1g23460	MpALFIN2	transcription factor, Alfin1-like	Alfin1-like
Mp1g24140	MpHD12	transcription factor, HD	HD
Mp1g24520	Mp4R-MYB1	transcription factor, MYB	MYB
Mp1g24950	MpWRKY11	transcription factor, WRKY	WRKY
Mp1g25020	MpC2H2-8	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp1g25720	Mp1R-MYB22	transcription factor, MYB	MYB
