State	ATAC.seq	H2AZ	H3K14ac	H3K4me1	H3K36me3	H3K9ac	H3K4me3	H2Aub	H3K27me3	H3	H3K9me1	H3K27me1
E1	0.100091319613917	0.0252800394808446	0.136724004099319	0.0191652365495705	0.903902051829077	0.396811824136757	0.452213330236671	0.202990768540577	0.00223424330990187	0.175793892593105	6.11158581494955e-05	8.99425918940485e-05
E2	0.00268015789534505	0.0133460816182721	0.126255537473129	0.569211423547036	0.956011351006276	0.0256672446246261	0.0804060747538853	1.59198465311798e-05	0.00224729675366337	0.19055963297988	0.000767319542597856	0.00161876600323384
E3	0.0475197210982708	0.635724086993492	0.533758520159019	0.799933813744191	0.407908438620716	0.185539714932051	0.332304338550611	0.12154292825723	0.0562426134597011	0.143246866022247	0.169246270238136	0.164610818202764
E4	0.850566472283298	0.9635152192018	0.438683525621549	0.552057313758099	0.748033790068045	0.571071108333461	0.706448504185446	0.0722538648087051	0.108827017892047	0.0747862993245594	0.408843240807101	0.28205468726579
E5	0.951656639382102	0.58888535579657	0.0581004646414274	0.0659128723150599	0.107068171514201	0.246475198708128	0.112327338831669	0.0567231115987192	0.0108765669775411	0.0234688087261687	0.0363180709449911	0.007244426825792
E6	0.311615251005667	0.523793750728839	0.27159793727952	0.227229571623888	0.0915161178839887	0.303658716871518	0.607187862533299	0.963576865836087	0.0596649769078124	0.120160776956077	0.00507291650193653	0.0351969636069452
E7	0.0993832343466019	0.544006405698077	0.211985273926549	0.331641069586642	0.0151889906314143	0.10773798761363	0.710608780055058	0.726808338999006	0.952897875117732	0.178965513532551	0.0393524131958145	0.00741963032930435
E8	0.000328138873010241	7.31208634930816e-05	0.000248467811536527	7.88632905758032e-05	0.000509828338935838	0.000550741872367067	0.000386212837137529	0.00159737807797639	0.0251095929682622	0.00146773982882713	0.00405761722636334	0.00433153411088439
E9	0.00644680557156361	0.0646287176129167	0.0240870360008142	0.0367529239038223	0.00155492158291514	0.0099838914163752	0.00541112810233027	0.00473858020452162	0.882400145872256	0.172873777280943	0.26594117095066	0.01131351946675
E10	0.0231149677399835	0.105503159817414	0.0195894261734447	0.0324452139390296	0.0240027646512534	0.0565694117745448	0.00446457315936629	0.00225597435654217	0.0266332038025424	0.228680890730175	0.432132624959253	0.134609633358678
E11	0.00361422599550753	0.00307944816458187	0.00266025139819041	0.00264563453241776	0.000415933568893362	0.00853178310354236	9.84765792864037e-05	4.12419893224622e-208	0.00976298183344239	0.224354264735039	0.744729858658619	0.944639996248552
E12	3.01588921503165e-05	1.79980997691576e-29	0.000164640803846459	2.47957672748945e-51	1.61403619485162e-133	0.00119736764993674	9.83468615657453e-311	0.000140851058987383	0.00130043171590511	0.0739662763431326	0.101427246397716	0.608109910630973
