geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp2g21710	C7	C3	chr2.23898689.23898829	chr2	23898689	23898829	141	-1077
Mp3g10780	C7	C3	chr3.10428134.10428554	chr3	10428134	10428554	421	-1122
Mp3g12570	C7	C3	chr3.12263034.12263364	chr3	12263034	12263364	331	252
Mp3g12570	C7	C3	chr3.12263516.12264036	chr3	12263516	12264036	521	0
Mp3g19350	C7	C3	chr3.19901851.19902203	chr3	19901851	19902203	353	655
Mp3g25450	C7	C3	chr3.26996538.26997054	chr3	26996538	26997054	517	-1011
Mp4g05440	C7	C3	chr4.6231169.6231318	chr4	6231169	6231318	150	703
Mp4g07950	C7	C3	chr4.8896754.8896955	chr4	8896754	8896955	202	0
Mp4g12810	C7	C3	chr4.14328451.14328604	chr4	14328451	14328604	154	1287
Mp5g09760	C7	C3	chr5.10872818.10872940	chr5	10872818	10872940	123	69
Mp6g17890	C7	C3	chr6.19716345.19716468	chr6	19716345	19716468	124	1397
Mp6g18940	C7	C3	chr6.21252036.21252146	chr6	21252036	21252146	111	-865
Mp8g03310	C7	C3	chr8.3554741.3554884	chr8	3554741	3554884	144	-1005
Mp8g12170	C7	C3	chr8.13784032.13784196	chr8	13784032	13784196	165	-1205
Mp8g14540	C7	C3	chr8.16243937.16244043	chr8	16243937	16244043	107	0
