s1	s2	s3	s4	s5	s6
1.113597.113859	-0.208435238108758	-0.662004130759815	-0.650265263164198	-0.981857732441622	1.2494688500037	1.25309351447069
1.157001.157678	0.875444957645465	1.11492625509517	-0.443458567575798	0.635555284726129	-1.15591169771201	-1.02655623217895
1.181541.182248	-0.71092879997552	-0.435374960980738	-0.690060170954173	-0.730685786388548	1.28952480245775	1.27752491584123
1.195556.195921	0.161481100616787	0.601359917934018	0.729407212391432	0.982646341249871	-1.39886261692403	-1.07603195526808
1.225911.226395	0.638617450836825	0.911970606781184	0.912002346502467	-0.0456361498282415	-1.26238673661427	-1.15456751767796
1.253112.253417	0.147895051630352	1.52590884161909	0.406114750586193	0.137418719032494	-1.17040876323762	-1.04692859963052
1.277342.277669	-0.280243628106836	-0.855194663565088	1.30991772477336	1.04777578160047	-0.0501315480072002	-1.1721236666947
1.297398.297781	0.985277922379415	1.22386464830377	-0.378156977867097	0.219987040692461	-0.68143590720554	-1.36953672630301
1.343611.344264	1.311313698173	0.387146270492504	0.554486096477517	0.101757395724373	-1.31956733637351	-1.03513612449389
1.350113.350384	1.03615990456058	1.10203200290816	-0.253951248957509	0.357469844573975	-1.1799703946921	-1.0617401083931
1.370273.370491	0.071396389878096	0.655687383645389	0.753094981527735	0.854924051971756	-1.68744411596055	-0.647658691062427
1.380974.381264	0.983090154215187	1.24759421713901	-0.262088031675909	0.202192574323778	-1.01020074047536	-1.16058817352671
1.491040.491278	-1.18667992714869	-0.474615818854261	-0.700086974663515	-0.0255035927439364	1.30994472984123	1.07694158356917
1.518447.518711	-0.0871739941024141	0.686175214003989	0.664635701889873	0.864540956763903	-0.333396785596063	-1.79478109295929
1.663832.664536	0.233257763331137	0.609996728427051	-1.34113250635653	-1.16363722652626	0.688472054981117	0.973043186143482
1.673859.674224	0.618940381232063	1.48828154727983	0.408726086149489	-0.885097827887088	-0.568808491932326	-1.06204169484197
1.760534.760886	-0.628640410864536	-0.476498045443616	1.54642587456179	0.834059719362922	-0.149095486601797	-1.12625165101477
1.833975.834670	1.0137704647123	1.33833528612027	-0.455141490500759	0.0854508251283232	-0.96215843446444	-1.0202566509957
1.948466.948698	-0.988909001757366	-0.330376090579006	1.50478006252441	0.580091609403861	0.330992360003636	-1.09657893959554
1.1095062.1095534	-0.512641798581532	-0.198839617238939	-1.04106298316051	-0.726843764775104	1.16267341459649	1.31671474915959
1.1113052.1113818	1.07544106571379	0.89360203034025	-0.869931057317455	-1.4221070069286	-0.165282768649324	0.488277736841336
1.1161958.1162446	-0.215982554600939	1.20099506432809	0.663978819530212	0.63429774726788	-1.31636772376479	-0.966921352760449
1.1202076.1202950	0.270315118902182	1.28062788164212	-1.3383423911367	-1.02354602372372	0.64970509051397	0.161240323802142
1.1342047.1342692	-0.400172392514831	-0.0427010629065686	1.19748649815514	1.1878879034347	-0.740672798348981	-1.20182814781946
1.1343097.1343497	0.658468704328711	0.636912406036816	0.708020992465305	0.56233810916497	-1.44369961190267	-1.12204060009313
1.1394050.1394278	0.780020737272285	0.916351249332404	-0.211076337757545	0.825698462371861	-1.43405582418742	-0.876938287031583
1.1435787.1436202	0.868666075107194	0.395305254197181	0.62724478621786	0.530986309064754	-1.70112071745259	-0.721081707134402
1.1468377.1469098	0.811020077614191	1.33351703972647	-0.207297504813946	0.261577434902563	-0.966770813238455	-1.23204623419082
1.1478681.1478902	0.745138715994638	0.783579457024276	-1.58298121383574	-0.833982840954931	0.786850422165853	0.101395459605904
1.1503338.1503636	1.05504392496395	1.46761641848878	-0.474697144043374	-0.461594479164769	-0.65847232551651	-0.92789639472808
1.1540424.1540721	1.11612084907877	1.08007714920646	-0.134683794392256	0.114593967167089	-1.395228884426	-0.780879286634065
1.1555976.1556356	0.297101971945531	1.53571285097392	-0.972409468332588	-1.17128226422697	0.461634400703095	-0.150757491062993
1.1651439.1651700	0.410660765256429	0.868754575537885	0.0346819499369667	1.02230678017278	-0.780312075763858	-1.5560919951402
1.1656724.1657303	0.27815025926829	0.0477768226733886	0.76286174153866	1.18714613221694	-0.726181203635441	-1.54975375206184
1.1689416.1689678	0.840678789056478	1.52638699389108	-0.794567350353769	-1.05061790064028	-0.0463627435045217	-0.475517788448988
1.1690451.1690793	0.64753858836564	1.40813169744621	-0.951436650665063	-1.2936147986141	0.119743917483771	0.0696372459835378
1.1748639.1749093	0.946748790826956	0.819827416983297	0.361459219541367	0.30875714501532	-1.56233448635131	-0.874458086015636
1.1844390.1844892	0.53019696189439	0.568070346766193	0.725616641614952	0.609528918135551	-0.698346927677254	-1.73506594073383
1.1846128.1847223	0.230560440360982	0.250735375902343	0.788427276463277	1.13095752816837	-1.42579255821774	-0.974888062677229
1.1856273.1856486	-1.04751626832469	-0.641350890382204	-0.64464900290092	-0.0565713881235381	1.52394102053315	0.866146529198202
1.1874991.1875387	0.222869446595173	0.707904397351496	-1.35647465045122	-1.1501474597029	0.63844330063274	0.937404965574718
1.1875684.1875984	-0.160663335406093	1.45373034602345	0.436695381900045	0.404372292472635	-1.40571918390118	-0.728415501088856
1.1987890.1989834	-0.506868394738556	-1.16943419014038	-0.25402861471319	-0.502390513857934	1.43942348503	0.99329822842006
1.2121346.2121991	-0.08196855419323	-0.636209267334192	1.18533505187268	1.24106653765633	-0.55059963761649	-1.1576241303851
1.2208050.2208353	-0.5516925913789	-0.879730637985789	1.13796686981239	1.20875867231266	0.153394669500689	-1.06869698226104
1.2295463.2295782	0.594420386059249	0.858737976383249	-1.58538782142228	-0.842657216342419	0.163016343465205	0.811870331856992
1.2325934.2326202	0.12633458503563	-0.449736231111911	1.28869799270299	0.989087101641004	-0.635919287077751	-1.31846416118996
1.2376583.2376941	-0.210178926262557	-1.02351823122841	1.22076104558206	1.25430384046913	-0.428066788302191	-0.813300940258035
1.2393981.2394604	1.04825830955051	0.825583019049107	0.318902735100174	0.0238951539758293	-1.6830162904053	-0.533622927270318
1.2407812.2408162	-0.0635060755910912	-0.314937976961734	1.35917134954339	0.933903118962358	-0.542372777537593	-1.37225763841533
1.2438804.2439050	-0.469536270317181	-0.11649693169458	1.27496911575584	1.1651508873867	-0.748126679449879	-1.1059601216809
1.2689129.2689367	-1.06566003028503	-1.04966898918522	-0.0306456067767336	-0.188324487224423	1.19615189902093	1.13814721445047
1.2705397.2705679	-0.345421853887667	-0.852526280078284	-0.19818410593325	-1.0318228031008	0.98763198655977	1.44032305644023
1.2744617.2744929	0.30735395510852	0.169572093077388	0.932221982759944	1.00616247471794	-1.40579116763804	-1.00951933802576
1.2749899.2750202	-0.0430862296990155	1.57397040590687	-0.890606816789261	-1.16715458148562	-0.0731105052770019	0.599987727344026
1.2773689.2774161	-0.635292163685262	-0.431702708531414	-1.00590916206071	-0.448627069737324	1.35525786368179	1.16627324033291
1.2894881.2895412	1.50065130322888	0.669656808402672	-1.1120869905034	-0.892104153813309	0.272765002051873	-0.438881969366714
1.3006505.3006953	0.638576104745026	0.810432320715632	0.410326213864949	0.685355143305557	-1.09969250524128	-1.44499727738988
1.3023591.3024055	-0.0704852336511799	-0.164606582769097	-1.26347033864618	-0.822801913492329	1.150419240727	1.17094482783178
1.3025505.3025756	0.684757699290045	1.44716844760316	-0.700982639848564	-1.22479424959874	-0.563543956763867	0.35739469931796
1.3042391.3042729	-0.171398691075431	-0.000921186549061023	1.4180259415098	0.834066257796076	-1.26508728418188	-0.814685037499506
1.3106701.3107374	-0.355024449143729	-0.911808789434136	1.07506595851804	1.44252088646655	-0.516434715389275	-0.734318891017448
1.3124278.3124907	-0.489465982822211	-0.25547402832585	1.41038902707925	1.07966917593558	-0.778871894172139	-0.966246297694633
1.3188593.3188836	-0.640264782558915	-0.350723352096909	1.37066979301228	1.01690196606863	-1.23634661352556	-0.16023701089953
1.3649131.3649745	0.719082642513847	1.40932240863902	-1.09717255315852	-0.917860837283835	0.414508294710686	-0.527879955421198
1.3654585.3654921	0.0868925455370961	0.87861622181086	-1.07648799527517	-1.34209137145094	0.406581800241354	1.0464887991368
