geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g02090	C2	C3	chr1.2345744.2345989	chr1	2345744	2345989	246	-5
Mp1g28720	C2	C3	chr1.29190859.29191144	chr1	29190859	29191144	286	0
Mp2g11120	C2	C3	chr2.11395527.11395695	chr2	11395527	11395695	169	0
Mp2g11120	C2	C3	chr2.11395793.11395927	chr2	11395793	11395927	135	144
Mp2g21470	C2	C3	chr2.23706000.23706175	chr2	23706000	23706175	176	-1037
Mp2g25930	C2	C3	chr2.28372710.28372941	chr2	28372710	28372941	232	0
Mp3g06080	C2	C3	chr3.5973425.5973499	chr3	5973425	5973499	75	5
Mp3g10640	C2	C3	chr3.10279348.10280014	chr3	10279348	10280014	667	797
Mp3g18210	C2	C3	chr3.18545969.18546194	chr3	18545969	18546194	226	1436
Mp3g20810	C2	C3	chr3.21452612.21453050	chr3	21452612	21453050	439	0
Mp4g06240	C2	C3	chr4.6957608.6958073	chr4	6957608	6958073	466	0
Mp5g03600	C2	C3	chr5.4098768.4098955	chr5	4098768	4098955	188	0
Mp5g08100	C2	C3	chr5.8818708.8818835	chr5	8818708	8818835	128	479
Mp6g03320	C2	C3	chr6.3765056.3765209	chr6	3765056	3765209	154	0
Mp8g09000	C2	C3	chr8.10296750.10297516	chr8	10296750	10297516	767	-57
Mp8g16880	C2	C3	chr8.18895737.18896074	chr8	18895737	18896074	338	0
