geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g02960	C2	C9	chr1.3233433.3233916	chr1	3233433	3233916	484	0
Mp1g12860	C2	C9	chr1.13010093.13010243	chr1	13010093	13010243	151	496
Mp2g02870	C2	C9	chr2.3263491.3263907	chr2	3263491	3263907	417	0
Mp2g16540	C2	C9	chr2.17525937.17526405	chr2	17525937	17526405	469	0
Mp3g16260	C2	C9	chr3.15952061.15952230	chr3	15952061	15952230	170	0
Mp3g17450	C2	C9	chr3.17598359.17599020	chr3	17598359	17599020	662	0
Mp4g00430	C2	C9	chr4.635179.635276	chr4	635179	635276	98	67
Mp4g22210	C2	C9	chr4.24824683.24824880	chr4	24824683	24824880	198	-21
Mp5g03160	C2	C9	chr5.3647480.3648200	chr5	3647480	3648200	721	103
Mp6g14300	C2	C9	chr6.15564599.15564770	chr6	15564599	15564770	172	0
Mp6g19790	C2	C9	chr6.22067210.22067315	chr6	22067210	22067315	106	-396
Mp6g20360	C2	C9	chr6.22578664.22580449	chr6	22578664	22580449	1786	0
Mp7g07880	C2	C9	chr7.9051969.9052868	chr7	9051969	9052868	900	0
