geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g04760	C2	C2	chr1.5067072.5067176	chr1	5067072	5067176	105	-160
Mp1g12530	C2	C2	chr1.12707289.12708205	chr1	12707289	12708205	917	0
Mp1g20770	C2	C2	chr1.21291257.21291674	chr1	21291257	21291674	418	447
Mp1g20770	C2	C2	chr1.21291786.21292042	chr1	21291786	21292042	257	79
Mp2g02650	C2	C2	chr2.3009433.3011935	chr2	3009433	3011935	2503	0
Mp2g04040	C2	C2	chr2.4229490.4229821	chr2	4229490	4229821	332	0
Mp2g04040	C2	C2	chr2.4230039.4230220	chr2	4230039	4230220	182	483
Mp2g10220	C2	C2	chr2.10423691.10424027	chr2	10423691	10424027	337	0
Mp2g19760	C2	C2	chr2.21384213.21384538	chr2	21384213	21384538	326	0
Mp2g23755	C2	C2	chr2.25974583.25975150	chr2	25974583	25975150	568	512
Mp3g09010	C2	C2	chr3.8899520.8899726	chr3	8899520	8899726	207	-636
Mp3g09050	C2	C2	chr3.8932987.8933833	chr3	8932987	8933833	847	0
Mp3g09560	C2	C2	chr3.9413375.9413635	chr3	9413375	9413635	261	28
Mp4g08740	C2	C2	chr4.9724305.9724829	chr4	9724305	9724829	525	619
Mp4g08740	C2	C2	chr4.9724954.9725181	chr4	9724954	9725181	228	267
Mp4g19310	C2	C2	chr4.21745353.21745675	chr4	21745353	21745675	323	65
Mp5g00690	C2	C2	chr5.1007332.1007949	chr5	1007332	1007949	618	0
Mp5g06100	C2	C2	chr5.6467766.6467973	chr5	6467766	6467973	208	-976
Mp5g11120	C2	C2	chr5.12448533.12448825	chr5	12448533	12448825	293	-1463
Mp5g15940	C2	C2	chr5.17003851.17004218	chr5	17003851	17004218	368	-583
Mp6g14180	C2	C2	chr6.15481957.15482357	chr6	15481957	15482357	401	0
Mp6g19170	C2	C2	chr6.21509574.21510700	chr6	21509574	21510700	1127	0
Mp6g19170	C2	C2	chr6.21510937.21511695	chr6	21510937	21511695	759	1143
Mp6g19790	C2	C2	chr6.22067508.22068782	chr6	22067508	22068782	1275	0
Mp6g19800	C2	C2	chr6.22070808.22071266	chr6	22070808	22071266	459	0
Mp6g20700	C2	C2	chr6.23014005.23014289	chr6	23014005	23014289	285	1258
Mp7g02600	C2	C2	chr7.3045371.3045522	chr7	3045371	3045522	152	157
Mp7g04270	C2	C2	chr7.5161755.5162068	chr7	5161755	5162068	314	-1258
Mp7g07880	C2	C2	chr7.9050836.9051836	chr7	9050836	9051836	1001	500
Mp7g16240	C2	C2	chr7.17941248.17942168	chr7	17941248	17942168	921	0
Mp8g00720	C2	C2	chr8.929154.929457	chr8	929154	929457	304	0
Mp8g05610	C2	C2	chr8.6342639.6344080	chr8	6342639	6344080	1442	0
Mp8g12000	C2	C2	chr8.13518417.13518531	chr8	13518417	13518531	115	-1412
Mp8g13330	C2	C2	chr8.15034179.15034283	chr8	15034179	15034283	105	1188
