1	Chr1	38443	41017	AT1G01070	1692	-	AT1G01070
4	Chr1	57163	59215	AT1G01120	2052	-	AT1G01120
8	Chr1	99865	101987	AT1G01240	1497	+	AT1G01240
17	Chr1	171524	172948	AT1G01470	1348	-	AT1G01470
18	Chr1	175705	178406	AT1G01480	2002	+	AT1G01480
20	Chr1	190407	192436	AT1G01520	1349	+	AT1G01520
22	Chr1	209207	213080	AT1G01580	2635	+	AT1G01580
23	Chr1	218833	221286	AT1G01600	2323	+	AT1G01600
24	Chr1	232839	237905	AT1G01650	2229	-	AT1G01650
25	Chr1	240056	242608	AT1G01660	1707	-	AT1G01660
28	Chr1	267992	269819	AT1G01720	1653	+	AT1G01720
35	Chr1	310168	313130	AT1G01900	2607	+	AT1G01900
46	Chr1	418766	422437	AT1G02205	2357	+	AT1G02205
49	Chr1	465615	467880	AT1G02340	1391	-	AT1G02340
50	Chr1	480649	483373	AT1G02390	2074	+	AT1G02390
51	Chr1	486799	489651	AT1G02400	1414	+	AT1G02400
54	Chr1	511764	513721	AT1G02470	962	-	AT1G02470
56	Chr1	571825	575085	AT1G02660	2842	-	AT1G02660
57	Chr1	575921	580299	AT1G02670	2161	+	AT1G02670
59	Chr1	588002	589480	AT1G02700	1356	+	AT1G02700
60	Chr1	589583	590406	AT1G02705	426	+	AT1G02705
61	Chr1	589705	589996	AT1G02710	291	-	AT1G02710
65	Chr1	621452	623054	AT1G02816	1602	+	AT1G02816
72	Chr1	729829	731565	AT1G03070	1132	+	AT1G03070
74	Chr1	752190	753140	AT1G03120	629	+	AT1G03120
82	Chr1	877860	880259	AT1G03520	2137	-	AT1G03520
88	Chr1	993399	995989	AT1G03905	1346	+	AT1G03905
100	Chr1	1119698	1122786	AT1G04220	2044	-	AT1G04220
101	Chr1	1125514	1128788	AT1G04230	1999	+	AT1G04230
102	Chr1	1128176	1129551	AT1G04240	1189	-	AT1G04240
103	Chr1	1136077	1138663	AT1G04250	1317	+	AT1G04250
107	Chr1	1154763	1157813	AT1G04310	2572	-	AT1G04310
112	Chr1	1221410	1224539	AT1G04500	1698	-	AT1G04500
113	Chr1	1246600	1248876	AT1G04570	2163	-	AT1G04570
116	Chr1	1303466	1307973	AT1G04680	2074	-	AT1G04680
120	Chr1	1358854	1362000	AT1G04830	1735	-	AT1G04830
123	Chr1	1391433	1395953	AT1G04920	3626	-	AT1G04920
