a,b,d,T,a_OCR,AverageShortestPathLength,b_OCR,BetweennessCentrality,ClosenessCentrality,cluster,ClusteringCoefficient,D_HS a,D_HS b,D_HS d,D_HS T,d_OCR,Degree,description,dko_HS,dko_HS_oc,Eccentricity,family,hsfa_HS,hsfa_HS_oc,hsfb_HS,hsfb_HS_oc,IsSingleNode,Matching.Attribute,Matching.Attribute.1,Matching.Attribute.2,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OCR_to_TSS,PartnerOfMultiEdgedNodePairs,Peak,Radiality,selected,SelfLoops,shared name,Stress,T_OCR,Tak1_HS,Tak1_HS_oc,TF,TopologicalCoefficient,U_HS a,U_HS b,U_HS d,U_HS T
,D,,,,4.042780748663102,,0.012277590704502727,0.24735449735449735,C6,0.047619047619047616,,V,,,,8,"transcription factor, AP2/ERF",-0.573597267,,8,AP2/ERF,1.234738596,,-0.980535738,,FALSE,Mp7g13270,,Mp7g13270,Mp7g13270,16,0,8,,1,,0.9718261041790454,FALSE,0,Mp7g13270,180576,,-0.656341218,,MpAP2L2,0.16797488226059654,,,,
,,,D,,3.443850267379679,up,0.003332747,0.29037267080745344,C6,0.6666666666666666,,,,,,3,,-0.304924923,0.396410354,7,,-1.083334065,0.196621639,0.007170957,1.944791614,FALSE,Mp8g00740,Mp8g00740,Mp8g00740,Mp8g00740,62.333333333333336,0,3,Promoter,0,chr8.946270.946480,0.9773717567835215,FALSE,0,Mp8g00740,40928,,-1.385699595,0.401865639,,0.3800813008130081,,,,
,U,,U,,3.359625668449198,up,0.003665842,0.2976522085157182,C2,0.2,,,,,,5,,-0.479957428,-0.846304924,7,,-0.584011409,-0.614331686,1.412092863,1.685311877,FALSE,Mp8g06470,Mp8g06470,Mp8g06470,Mp8g06470,37.6,0,5,3' UTR,0,chr8.7409144.7410222,0.9781516141810259,FALSE,0,Mp8g06470,68732,up,1.582858421,1.386814691,,0.2282208588957055,,,,
D,D,,D,,3.358288770053476,down,0.004971432,0.29777070063694266,C6,0.3333333333333333,,,,,,3,,-0.047939479,-0.543733372,6,,-1.15257737,-0.216931611,-1.009965694,-1.675952119,FALSE,Mp8g18590,Mp8g18590,Mp8g18590,Mp8g18590,72.33333333333333,0,3,Promoter,0,chr8.20726376.20727656,0.9781639928698752,FALSE,0,Mp8g18590,90232,,-1.133817187,-0.74306002,,0.3564356435643564,,,,
,U,,,up,3.5233957219251337,,0,0.28381711250237146,C7,1,,,,,,2,,0.677811534,0.659740809,7,,-0.879635959,1.153941075,1.359086335,0.354855931,FALSE,Mp8g17820,Mp8g17820,Mp8g17820,Mp8g17820,65.5,0,2,3' UTR,0,chr8.19981074.19981990,0.9766352247969894,FALSE,0,Mp8g17820,0,,-0.988175754,0.839311577,,0.5077519379844961,,,,
U,U,,U,,3.371657754010695,up,0.008150862,0.2965900079302141,C3,0,,,,,,4,,0.767618637,-0.020264682,7,,0.392092187,-0.302397789,1.16132456,1.765129074,FALSE,Mp8g14870,Mp8g14870,Mp8g14870,Mp8g14870,46.25,0,4,3' UTR,0,chr8.16643468.16643987,0.9780402059813824,FALSE,0,Mp8g14870,122720,up,0.958396751,1.086561237,,0.2646198830409357,,,,
D,D,,D,,3.296122994652406,,0.008884884,0.30338673697018864,C1,0.16666666666666666,,,,,,4,,0.241410917,0.295944465,6,,-1.233782223,0.578092154,-1.176099321,0.703607568,FALSE,Mp7g08810,Mp7g08810,Mp7g08810,Mp7g08810,75.75,0,4,"Exon (Mp7g08800.2/Mp7g08800, exon 5 of 5)",0,chr7.9955299.9955828,0.9787396019013666,FALSE,0,Mp7g08810,192642,up,-0.533133947,0.975725172,,0.2883141762452107,,,,
,U,U,U,,3.3542780748663104,up,0.001108994,0.2981267437225986,C2,0,,,,,,2,,-0.71164306,-0.413600389,7,,-0.591234812,-0.770928597,1.40250606,1.289749313,FALSE,Mp7g07880,Mp7g07880,Mp7g07880,Mp7g07880,83.5,0,2,Promoter,0,chr7.9050836.9051836,0.978201129,FALSE,0,Mp7g07880,41906,up,1.568680152,1.462653949,,0.515625,,,,
,U,,U,,3.514705882352941,up,0.003071815,0.28451882845188287,C2,0,,,,,,2,,-0.48639409,-0.284853858,7,,-0.271399388,-0.744340186,1.204279638,2.136067554,FALSE,Mp7g04270,Mp7g04270,Mp7g04270,Mp7g04270,60.5,0,2,Promoter,0,chr7.5161755.5162068,0.9767156862745098,FALSE,0,Mp7g04270,39278,up,1.549278196,1.083872503,,0.5042372881355932,,,,
,U,,,up,3.5568181818181817,up,0,0.28115015974440893,C2,1,,,,,up,2,,-1.247489131,0.374377399,7,,0.055757655,0.85268025,0.378598388,1.009326196,FALSE,Mp7g14100,Mp7g14100,Mp7g14100,Mp7g14100,51.5,0,2,3' UTR,0,chr7.15755107.15755705,0.9763257575757576,FALSE,0,Mp7g14100,0,up,1.279634637,1.132824275,,0.515,,,,
