TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0031222	"arabinan catabolic process"	-11.535063570878267	0.3010299956639812	0.004897639337839162	0.810369826452758	0.3875841	null
GO:0009408	"response to heat"	-11.313185045492682	2.3979400086720375	1.2195121951219512	0.8847676988110283	0	null
GO:0031221	"arabinan metabolic process"	-11.117646253611285	0.47712125471966244	0.009795278675678323	0.8277118651518903	0	null
GO:0008152	"metabolic process"	-9.072321735862008	3.961231197044663	44.788911744539135	1	0	null
GO:0046686	"response to cadmium ion"	-7.330590132712217	1.845098040014257	0.3379371143109022	0.9144157532474823	0.18181268	null
GO:0010038	"response to metal ion"	-5.90031935889075	2.3324384599156054	1.0480948182975804	0.9051799145369159	0.33400892	null
GO:0006457	"protein folding"	-5.844663962534939	2.1789769472931693	0.7346459006758742	0.7997580665155102	0.13125784	null
GO:0016052	"carbohydrate catabolic process"	-5.531357331608489	2.436162647040756	1.332157899892252	0.7637940106303511	0.41848603	null
GO:0009628	"response to abiotic stimulus"	-5.494443061336178	3.2984163800612945	9.731609364286415	0.906030086031798	0.27250364	null
GO:0009644	"response to high light intensity"	-4.941573975542995	1.8129133566428555	0.31344891762170635	0.8879521287067925	0.4135004	null
GO:0090377	"seed trichome initiation"	-3.9415739755429944	1.724275869600789	0.25346603065130696	0.7551589730390531	0	null
GO:0016102	"diterpenoid biosynthetic process"	-3.3490129056165547	1.7558748556724915	0.27426780291899305	0.7785275608029762	0.28422208	null
GO:0008150	"biological_process"	-2.93404701968613	4.3100344691359895	100	1	0	null
GO:0019464	"glycine decarboxylation via glycine cleavage system"	-2.93404701968613	0.6020599913279624	0.014692918013517485	0.7390925131962018	0.06753788	null
GO:0042542	"response to hydrogen peroxide"	-2.9027426903065803	1.7708520116421442	0.28406308159467136	0.9032230644187629	0.29626723	null
GO:0009615	"response to virus"	-2.5671909949668317	1.954242509439325	0.4358899010676854	0.9325731989710015	0.18651453	null
GO:0022414	"reproductive process"	-2.388701637703571	3.1911714557285586	7.601136252326379	1	0	null
GO:0044283	"small molecule biosynthetic process"	-2.206419132631844	2.7958800173440754	3.0561269468116365	0.7534095711563427	0.39389337	null
GO:0009056	"catabolic process"	-2.1132837258835218	3.116939646550756	6.406112253893623	0.8935723386970228	0.07663397	null
GO:0044238	"primary metabolic process"	-1.91721462968355	3.885530833188092	37.62366539328043	0.8659804699823249	0.23807068	null
GO:0010186	"positive regulation of cellular defense response"	-1.85294232897164	0.47712125471966244	0.009795278675678323	0.9786051441401145	0	null
GO:0006629	"lipid metabolic process"	-1.7988761027926203	3.016197353512439	5.07885199333921	0.8728284511245876	0.15483958	null
GO:0009740	"gibberellic acid mediated signaling pathway"	-1.6897316333675525	1.8976270912904414	0.38201586835145457	0.8394300885953279	0.41784598	null
GO:0009826	"unidimensional cell growth"	-1.6371406970413198	2.369215857410143	1.1411499657165247	0.8032248047945473	0.3331806	null
GO:0032501	"multicellular organismal process"	-1.6371406970413198	3.411788004543869	12.635909491625036	1	0	null
GO:0071554	"cell wall organization or biogenesis"	-1.4600461583436033	2.82865989653532	3.296111274365756	0.9584951126126103	0.05057093	null
GO:0002943	"tRNA dihydrouridine synthesis"	-1.4479404658121156	0.7781512503836436	0.024488196689195805	0.8455484569612295	0.32740959	null
GO:0005975	"carbohydrate metabolic process"	-1.4310945850171213	3.0136796972911926	5.0494661573121755	0.8729129628048548	0.20440983	null
GO:0010185	"regulation of cellular defense response"	-1.3105135516357522	0.6020599913279624	0.014692918013517485	0.9783804101010386	0.47109593	null
