seqnames	start	end	width	strand	Peak	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	distanceToTSS (log10)
chr1	175698	175885	188	*	tak1-hs-merge_peak_1	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	13691	1.16705135873788
chr1	176126	178360	2235	*	tak1-hs-merge_peak_2	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	14119	1.17952306703529
chr1	178573	178984	412	*	tak1-hs-merge_peak_3	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	16566	1.24467287841611
chr1	196397	198246	1850	*	tak1-hs-merge_peak_4	Distal Intergenic	2	232548	238180	5633	1	Mp1g00070	-34302	-1.54779931061045
chr1	238387	239001	615	*	tak1-hs-merge_peak_5	Exon (Mp1g00080.1/Mp1g00080, exon 1 of 5)	2	238796	241187	2392	1	Mp1g00080	0	0
chr1	244216	244476	261	*	tak1-hs-merge_peak_6	Distal Intergenic	2	238796	241187	2392	1	Mp1g00080	5420	0.807535028068853
chr1	253317	254137	821	*	tak1-hs-merge_peak_7	Exon (Mp1g00090.2/Mp1g00090, exon 1 of 14)	2	245204	253678	8475	2	Mp1g00090	0	0
chr1	261274	262587	1314	*	tak1-hs-merge_peak_8	Exon (Mp1g00100.1/Mp1g00100, exon 1 of 12)	2	254510	261695	7186	2	Mp1g00100	0	0
chr1	264943	265250	308	*	tak1-hs-merge_peak_9	Exon (Mp1g00110.1/Mp1g00110, exon 1 of 4)	2	264950	267050	2101	1	Mp1g00110	0	0
chr1	267333	268145	813	*	tak1-hs-merge_peak_10	Downstream (<=300bp)	2	264950	267050	2101	1	Mp1g00110	2383	0.529301997787981
chr1	275621	276337	717	*	tak1-hs-merge_peak_11	Exon (Mp1g00120.1/Mp1g00120, exon 1 of 3)	2	272861	276002	3142	2	Mp1g00120	0	0
chr1	290512	293105	2594	*	tak1-hs-merge_peak_12	Exon (Mp1g00130.1/Mp1g00130, exon 1 of 2)	2	290530	292179	1650	2	Mp1g00130	0	0
chr1	301079	303858	2780	*	tak1-hs-merge_peak_13	Exon (Mp1g00140.2/Mp1g00140, exon 1 of 9)	2	293905	301908	8004	2	Mp1g00140	0	0
chr1	311433	311846	414	*	tak1-hs-merge_peak_14	Exon (Mp1g00160.1/Mp1g00160, exon 1 of 7)	2	306455	311608	5154	2	Mp1g00160	0	0
chr1	330386	331235	850	*	tak1-hs-merge_peak_15	Exon (Mp1g00180.2/Mp1g00180, exon 14 of 17)	2	326974	330199	3226	1	Mp1g00170	3412	0.644635503768153
chr1	331357	331702	346	*	tak1-hs-merge_peak_16	Exon (Mp1g00180.2/Mp1g00180, exon 12 of 17)	2	326974	330199	3226	1	Mp1g00170	4383	0.731024379815688
chr1	336627	337021	395	*	tak1-hs-merge_peak_17	Exon (Mp1g00180.2/Mp1g00180, exon 1 of 17)	2	329035	336836	7802	2	Mp1g00180	0	0
chr1	339263	339503	241	*	tak1-hs-merge_peak_18	Promoter	2	340744	344763	4020	1	Mp1g00190	-1241	-0.350441856535061
chr1	340376	340956	581	*	tak1-hs-merge_peak_19	Exon (Mp1g00190.1/Mp1g00190, exon 1 of 6)	2	340744	344763	4020	1	Mp1g00190	0	0
chr1	347036	347310	275	*	tak1-hs-merge_peak_20	Distal Intergenic	2	340744	344763	4020	1	Mp1g00190	6292	0.862846659982939
chr1	353567	354372	806	*	tak1-hs-merge_peak_21	Distal Intergenic	2	355584	356441	858	2	Mp1g00200	2069	0.486996888431823
chr1	354641	355714	1074	*	tak1-hs-merge_peak_22	Exon (Mp1g00200.1/Mp1g00200, exon 2 of 2)	2	355584	356441	858	2	Mp1g00200	727	0.237292337567459
chr1	355842	356078	237	*	tak1-hs-merge_peak_23	Exon (Mp1g00200.1/Mp1g00200, exon 2 of 2)	2	355584	356441	858	2	Mp1g00200	363	0.134495855834674
chr1	356271	358753	2483	*	tak1-hs-merge_peak_24	Exon (Mp1g00210.1/Mp1g00210, exon 1 of 1)	2	355584	356441	858	2	Mp1g00200	0	0
chr1	364701	366659	1959	*	tak1-hs-merge_peak_25	Exon (Mp1g00220.1/Mp1g00220, exon 9 of 9)	2	366418	372541	6124	2	Mp1g00220	5882	0.837714668284911
chr1	372387	372689	303	*	tak1-hs-merge_peak_26	Exon (Mp1g00220.1/Mp1g00220, exon 1 of 9)	2	366418	372541	6124	2	Mp1g00220	0	0
chr1	377632	377910	279	*	tak1-hs-merge_peak_27	Exon (Mp1g00230.1/Mp1g00230, exon 1 of 15)	2	377786	386098	8313	1	Mp1g00230	0	0
chr1	386289	387876	1588	*	tak1-hs-merge_peak_28	Exon (Mp1g00240.1/Mp1g00240, exon 1 of 3)	2	387516	389492	1977	1	Mp1g00240	0	0
chr1	388972	389310	339	*	tak1-hs-merge_peak_29	Exon (Mp1g00240.1/Mp1g00240, exon 3 of 3)	2	387516	389492	1977	1	Mp1g00240	1456	0.39022836246913
chr1	400990	401115	126	*	tak1-hs-merge_peak_30	Exon (Mp1g00250.1/Mp1g00250, exon 1 of 10)	2	401034	404722	3689	1	Mp1g00250	0	0
chr1	409770	409948	179	*	tak1-hs-merge_peak_31	Distal Intergenic	2	401034	404722	3689	1	Mp1g00250	8736	0.988380565222009
chr1	410475	414194	3720	*	tak1-hs-merge_peak_32	Distal Intergenic	2	423220	424042	823	1	Mp1g00260	-9026	-1.00112770027703
chr1	418562	418807	246	*	tak1-hs-merge_peak_33	Distal Intergenic	2	423220	424042	823	1	Mp1g00260	-4413	-0.733438027091061
