seqnames	start	end	width	strand	Peak	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	distanceToTSS (log10)
chr1	175698	175885	188	*	tak1-ck-merge_peak_1	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	13691	1.16705135873788
chr1	176121	178396	2276	*	tak1-ck-merge_peak_2	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	14114	1.17937941788176
chr1	178573	178979	407	*	tak1-ck-merge_peak_3	Distal Intergenic	2	162007	163825	1819	1	Mp1g00055k	16566	1.24467287841611
chr1	196402	198246	1845	*	tak1-ck-merge_peak_4	Distal Intergenic	2	232548	238180	5633	1	Mp1g00070	-34302	-1.54779931061045
chr1	237510	237735	226	*	tak1-ck-merge_peak_5	Exon (Mp1g00070.1/Mp1g00070, exon 13 of 13)	2	238796	241187	2392	1	Mp1g00080	-1061	-0.314077991779213
chr1	238339	238923	585	*	tak1-ck-merge_peak_6	Exon (Mp1g00080.1/Mp1g00080, exon 1 of 5)	2	238796	241187	2392	1	Mp1g00080	0	0
chr1	244211	244457	247	*	tak1-ck-merge_peak_7	Distal Intergenic	2	238796	241187	2392	1	Mp1g00080	5415	0.807196660710947
chr1	253319	254117	799	*	tak1-ck-merge_peak_8	Exon (Mp1g00090.2/Mp1g00090, exon 1 of 14)	2	245204	253678	8475	2	Mp1g00090	0	0
chr1	261337	262588	1252	*	tak1-ck-merge_peak_9	Exon (Mp1g00100.1/Mp1g00100, exon 1 of 12)	2	254510	261695	7186	2	Mp1g00100	0	0
chr1	267339	268134	796	*	tak1-ck-merge_peak_10	Downstream (<=300bp)	2	264950	267050	2101	1	Mp1g00110	2389	0.530071568837378
chr1	275694	276298	605	*	tak1-ck-merge_peak_11	Exon (Mp1g00120.1/Mp1g00120, exon 1 of 3)	2	272861	276002	3142	2	Mp1g00120	0	0
chr1	290601	292136	1536	*	tak1-ck-merge_peak_12	Exon (Mp1g00130.1/Mp1g00130, exon 1 of 2)	2	290530	292179	1650	2	Mp1g00130	43	0.0182843084265308
chr1	292435	292606	172	*	tak1-ck-merge_peak_13	Promoter	2	290530	292179	1650	2	Mp1g00130	-256	-0.0989896394011773
chr1	300980	303826	2847	*	tak1-ck-merge_peak_14	Exon (Mp1g00140.2/Mp1g00140, exon 1 of 9)	2	293905	301908	8004	2	Mp1g00140	0	0
chr1	311476	311799	324	*	tak1-ck-merge_peak_15	Exon (Mp1g00160.1/Mp1g00160, exon 1 of 7)	2	306455	311608	5154	2	Mp1g00160	0	0
chr1	336632	336997	366	*	tak1-ck-merge_peak_16	Exon (Mp1g00180.2/Mp1g00180, exon 1 of 17)	2	329035	336836	7802	2	Mp1g00180	0	0
chr1	340404	340806	403	*	tak1-ck-merge_peak_17	Exon (Mp1g00190.1/Mp1g00190, exon 1 of 6)	2	340744	344763	4020	1	Mp1g00190	0	0
