distanceToTSS (log10)	group
1.16705135873788	Tak1 CK
1.17937941788176	Tak1 CK
1.24467287841611	Tak1 CK
-1.54779931061045	Tak1 CK
-0.314077991779213	Tak1 CK
0	Tak1 CK
0.807196660710947	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.530071568837378	Tak1 CK
0	Tak1 CK
0.0182843084265308	Tak1 CK
-0.0989896394011773	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.86308482532036	Tak1 CK
0.239049093140191	Tak1 CK
0	Tak1 CK
0.864154956002026	Tak1 CK
0.838345268775991	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.229169702539101	Tak1 CK
0	Tak1 CK
0.387745659608864	Tak1 CK
0	Tak1 CK
0.989939013284536	Tak1 CK
1.01849245340147	Tak1 CK
-1	Tak1 CK
0	Tak1 CK
-0.305566313515304	Tak1 CK
0	Tak1 CK
0.310268366632448	Tak1 CK
-0.229425847920695	Tak1 CK
0	Tak1 CK
0.0187004986662434	Tak1 CK
0.338854746252323	Tak1 CK
0	Tak1 CK
0.441380884916511	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.490941205356787	Tak1 CK
0.00646604224923168	Tak1 CK
-0.260548372636979	Tak1 CK
0	Tak1 CK
-0.148294097434746	Tak1 CK
0.199480914862356	Tak1 CK
0	Tak1 CK
-0.243781916093795	Tak1 CK
-0.0386201619497028	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.153509989300838	Tak1 CK
0.676236216763311	Tak1 CK
0.349471799214386	Tak1 CK
0	Tak1 CK
-0.189770956346874	Tak1 CK
-0.00732095292274456	Tak1 CK
-0.0203612826477079	Tak1 CK
0.812712866765369	Tak1 CK
-0.786680453196649	Tak1 CK
0	Tak1 CK
0.571009672309305	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.578524605274993	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.498723970747905	Tak1 CK
-0.219322508419337	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.823930455125564	Tak1 CK
0.76365257056453	Tak1 CK
0	Tak1 CK
-0.6028193424327	Tak1 CK
-0.130976691605617	Tak1 CK
0	Tak1 CK
0.0652061280543119	Tak1 CK
0.289588952542597	Tak1 CK
0.609380944250707	Tak1 CK
-0.330007700872759	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.216429830876251	Tak1 CK
0	Tak1 CK
-0.208441356438567	Tak1 CK
-0.400883215548363	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.727297202803587	Tak1 CK
0.838974954955468	Tak1 CK
-0.59681693591559	Tak1 CK
-0.52750101098112	Tak1 CK
-0.00518051250378031	Tak1 CK
0.557988148224913	Tak1 CK
0.70035752782266	Tak1 CK
0.612571954065176	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.890756251918218	Tak1 CK
0.749117662356322	Tak1 CK
0.567261692353874	Tak1 CK
0.51067903103221	Tak1 CK
0.240049772112648	Tak1 CK
0	Tak1 CK
-0.0207754881935578	Tak1 CK
0	Tak1 CK
0.205204363948145	Tak1 CK
0.504878459410216	Tak1 CK
0.8121108412031	Tak1 CK
-0.34752515999869	Tak1 CK
0	Tak1 CK
-0.0161973535124391	Tak1 CK
-0.696181587168524	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.71717102683231	Tak1 CK
-0.629817196018516	Tak1 CK
0	Tak1 CK
1.08080680433436	Tak1 CK
-1.26897558109781	Tak1 CK
0	Tak1 CK
0.0115704435972782	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.287801729930226	Tak1 CK
-0.726156466172755	Tak1 CK
-0.910997716310643	Tak1 CK
0.772028165324855	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.46908529912312	Tak1 CK
0.166430113843283	Tak1 CK
-0.186673867499745	Tak1 CK
0	Tak1 CK
-0.780821175853473	Tak1 CK
0	Tak1 CK
0.66247450375031	Tak1 CK
-0.665580991017953	Tak1 CK
-0.62879748556671	Tak1 CK
0	Tak1 CK
0.800235789327354	Tak1 CK
0.840043330603494	Tak1 CK
-0.304490527773488	Tak1 CK
-0.187802638718419	Tak1 CK
-0.425371166438941	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.00646604224923168	Tak1 CK
0.831165633909443	Tak1 CK
1.05219358043347	Tak1 CK
1.17900570756482	Tak1 CK
1.23929947912689	Tak1 CK
-1.25027358623225	Tak1 CK
-1.17562776436718	Tak1 CK
-1.09229947657425	Tak1 CK
-1.03626949574282	Tak1 CK
-0.990116766067904	Tak1 CK
-0.815909650886775	Tak1 CK
-0.764848357193411	Tak1 CK
-0.67089495352021	Tak1 CK
0	Tak1 CK
-0.780893108687079	Tak1 CK
0	Tak1 CK
0.3654879848909	Tak1 CK
0.470410490975931	Tak1 CK
0	Tak1 CK
-1.03031630598859	Tak1 CK
-0.0538464268522527	Tak1 CK
0	Tak1 CK
0.753659647285999	Tak1 CK
0.417803722639881	Tak1 CK
0	Tak1 CK
-0.0277572046905535	Tak1 CK
0.197556213153537	Tak1 CK
-0.147676324241099	Tak1 CK
-0.0881360887005513	Tak1 CK
-0.411956237930401	Tak1 CK
0	Tak1 CK
1.2197416610463	Tak1 CK
0	Tak1 CK
0.432167269442588	Tak1 CK
0.555578072772955	Tak1 CK
-0.0269416279590294	Tak1 CK
0.0464951643347083	Tak1 CK
-0.0652061280543119	Tak1 CK
0	Tak1 CK
-0.00216606175650763	Tak1 CK
0.262688344301696	Tak1 CK
0	Tak1 CK
0	Tak1 CK
-0.00860017176191757	Tak1 CK
0.927319024959656	Tak1 CK
0.431041945335885	Tak1 CK
0.0863598306747482	Tak1 CK
0	Tak1 CK
-0.442479769064449	Tak1 CK
-0.571825249040829	Tak1 CK
-1.11481107383806	Tak1 CK
-1.29278753519833	Tak1 CK
-1.3028934583565	Tak1 CK
1.55331248890024	Tak1 CK
1.52273106004858	Tak1 CK
1.45112605161708	Tak1 CK
0.489677291663699	Tak1 CK
0.124178055474675	Tak1 CK
0	Tak1 CK
0.478710755512759	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0	Tak1 CK
0.0211892990699381	Tak1 CK
0.0934216851622351	Tak1 CK
-0.703635237583896	Tak1 CK
0.63708927353033	Tak1 CK
