peak	cluster
chr1.985138.985573	C1
chr1.1571455.1571657	C2
chr1.1619424.1619485	C3
chr1.2130254.2130456	C3
chr1.3538644.3538816	C4
chr1.3570293.3570867	C3
chr1.3876883.3876972	C3
chr1.3877517.3877656	C5
chr1.4913539.4913658	C3
chr1.5036536.5036619	C4
chr1.5083506.5083591	C4
chr1.5317748.5317875	C3
chr1.6147194.6147369	C3
chr1.8186060.8186191	C3
chr1.9508319.9508895	C3
chr1.9509780.9510228	C3
chr1.9780336.9780509	C3
chr1.9783381.9783473	C3
chr1.10215965.10216033	C1
chr1.10762600.10762683	C3
chr1.11327155.11327398	C1
chr1.11663556.11663683	C1
chr1.11746122.11746184	C4
chr1.12640309.12640394	C3
chr1.13090121.13090213	C3
chr1.14769621.14769994	C1
chr1.15313615.15314024	C1
chr1.15712491.15712790	C3
chr1.16826269.16826578	C4
chr1.17091174.17091880	C5
chr1.17531699.17531796	C1
chr1.17702430.17702582	C4
chr1.17756834.17757032	C2
chr1.20272123.20272856	C1
chr1.20633139.20633301	C4
chr1.20967453.20967565	C1
chr1.21098103.21098373	C1
chr1.21253665.21253781	C4
chr1.21269778.21270154	C1
chr1.22243517.22243980	C3
chr1.22303998.22304363	C3
chr1.22684387.22684634	C1
chr1.23135201.23135576	C4
chr1.23410620.23410696	C4
chr1.23778077.23778192	C1
chr1.24797299.24797440	C4
chr1.24960315.24960444	C3
chr1.25273085.25273156	C1
chr1.25808932.25809058	C1
chr1.25967356.25967482	C3
chr1.26076994.26077082	C4
chr1.26572276.26572464	C3
chr1.27367182.27367440	C1
chr1.28009912.28010051	C4
chr1.28550992.28551148	C3
chr1.28552432.28552808	C3
chr1.28804063.28804245	C3
chr1.28804312.28804462	C3
chr1.29278785.29278870	C3
chr1.29877288.29877375	C4
chr1.30120564.30120663	C1
chr1.30400543.30400712	C1
chr1.30566709.30566971	C3
chr2.700172.700388	C2
chr2.721479.721600	C4
chr2.1060028.1060353	C1
chr2.2031718.2031812	C1
chr2.2723335.2723654	C5
chr2.2782017.2782083	C1
chr2.3338264.3338388	C3
chr2.4184359.4184687	C1
chr2.4958256.4958331	C4
chr2.5151044.5151191	C3
chr2.5273374.5273643	C3
chr2.6826327.6826450	C1
chr2.6849763.6849829	C4
chr2.7797324.7797401	C1
chr2.8139388.8139450	C3
chr2.8364254.8364512	C1
chr2.9540824.9541011	C3
chr2.9833423.9833574	C1
chr2.10146363.10146582	C1
chr2.10184402.10184794	C1
chr2.10214761.10214835	C2
chr2.10458133.10458762	C1
chr2.11051387.11051528	C5
chr2.11356148.11356385	C4
chr2.11395632.11395695	C4
chr2.11629696.11629889	C1
chr2.13035253.13035352	C2
chr2.15781182.15781510	C1
chr2.15866889.15867196	C5
chr2.16067523.16067775	C5
chr2.16068139.16068203	C5
chr2.16098420.16098580	C1
chr2.16107205.16107294	C4
chr2.16111822.16111925	C5
chr2.16112647.16112835	C5
chr2.18345179.18345527	C3
chr2.19356704.19356939	C3
chr2.19567397.19567461	C1
chr2.19950258.19950339	C3
chr2.20083407.20083555	C4
chr2.20830709.20830848	C3
chr2.21480627.21480717	C1
chr2.22811667.22811741	C5
chr2.23754175.23754313	C4
chr2.23754586.23754698	C4
chr2.23757801.23757890	C3
chr2.23767174.23767295	C4
chr2.23841553.23841700	C4
chr2.24357031.24357103	C3
chr2.25802144.25802234	C2
chr2.26028554.26028630	C1
chr2.26051736.26051915	C4
chr2.26488813.26489002	C4
chr2.26489051.26489211	C4
chr2.26489396.26489483	C3
chr2.26489534.26489640	C4
chr2.26489938.26490296	C3
chr2.26493994.26494210	C3
chr2.26929274.26929398	C3
chr2.27099615.27099687	C5
chr2.27225630.27225843	C3
chr2.27342679.27342869	C2
chr2.27393851.27394149	C3
chr2.28025794.28025865	C1
chr2.28546048.28546128	C1
chr2.28546195.28546269	C1
chr2.28546347.28546551	C1
chr2.28546649.28546714	C1
chr2.28546780.28546884	C1
chr2.28583459.28583570	C3
chr2.29020340.29020436	C1
chr2.29241392.29241552	C3
chr2.29425951.29426178	C5
chr3.820873.820955	C1
chr3.898615.899219	C3
chr3.921053.921169	C1
chr3.921296.921372	C5
chr3.2056380.2056831	C3
chr3.2321397.2321482	C4
chr3.2402012.2402107	C3
chr3.2494767.2495122	C3
chr3.2726312.2726409	C1
chr3.3626703.3627209	C3
chr3.3718944.3719083	C5
chr3.3758503.3758655	C3
chr3.3880663.3880727	C4
chr3.3949487.3949999	C2
chr3.4088946.4089172	C3
chr3.4218640.4219004	C3
chr3.5455293.5455514	C3
chr3.6403530.6403592	C1
chr3.7015999.7016085	C2
chr3.7667988.7668157	C3
chr3.7694051.7694479	C3
chr3.7750880.7750970	C3
chr3.7771588.7771687	C4
chr3.7778463.7778561	C3
chr3.8868145.8868300	C4
chr3.8868413.8868479	C4
chr3.8868614.8868942	C4
chr3.9459682.9459760	C1
chr3.9610348.9611425	C3
chr3.9731338.9731767	C4
chr3.9776688.9776881	C3
chr3.10098199.10098277	C1
chr3.10240346.10240440	C3
chr3.10519144.10519582	C3
chr3.11083412.11083582	C3
chr3.11644068.11644138	C3
chr3.11945584.11945708	C2
chr3.11945795.11945879	C2
chr3.12043878.12044198	C3
chr3.12584260.12584385	C3
chr3.12889691.12889874	C5
chr3.13043839.13043928	C2
chr3.13178958.13179038	C4
chr3.13630394.13630491	C4
chr3.14178311.14178772	C5
chr3.14457488.14457585	C4
chr3.14486781.14486898	C1
chr3.15484877.15485243	C5
chr3.16921543.16921860	C1
chr3.18630339.18630436	C3
chr3.18879382.18879470	C3
chr3.19099480.19099572	C1
chr3.19136914.19137421	C3
chr3.19223756.19224029	C4
chr3.19312462.19312659	C3
chr3.19587635.19587723	C4
chr3.19800871.19800943	C1
chr3.20222628.20222746	C3
chr3.21344637.21344736	C4
chr3.21501887.21502021	C4
chr3.21771928.21772277	C5
chr3.21772397.21773302	C5
chr3.21774705.21774832	C5
chr3.22010169.22010256	C3
chr3.22178832.22178945	C1
chr3.22803926.22804064	C3
chr3.22905562.22905629	C3
chr3.22998708.22998883	C1
chr3.23556441.23556645	C1
chr3.23725109.23725547	C3
chr3.23961559.23961842	C5
chr3.24029283.24029362	C4
chr3.24211607.24211835	C1
chr3.24852553.24853735	C1
chr3.24909670.24909929	C4
chr3.24977233.24977540	C4
chr4.194863.195520	C1
chr4.2217874.2217971	C1
chr4.2511986.2512107	C5
chr4.2582020.2582131	C3
chr4.2917072.2917242	C5
chr4.2918404.2918586	C2
chr4.3106038.3106467	C3
chr4.3117337.3117642	C4
chr4.4213915.4214145	C3
chr4.4216020.4216254	C3
chr4.4227249.4227635	C3
chr4.4227983.4228077	C3
chr4.4228413.4228480	C3
chr4.4237608.4237689	C3
chr4.5194382.5194547	C1
chr4.5256519.5256590	C2
chr4.5665372.5665495	C1
chr4.5962297.5962499	C4
chr4.6629602.6629740	C5
chr4.6690848.6691007	C5
chr4.6913927.6914073	C2
chr4.7490634.7490731	C3
chr4.7598104.7598336	C3
chr4.8897569.8897640	C1
chr4.9067385.9067588	C3
chr4.9202237.9202398	C1
chr4.9202487.9202592	C1
chr4.9202661.9203395	C1
chr4.9255079.9255245	C1
chr4.9258011.9258432	C1
chr4.9291334.9291416	C3
chr4.9493315.9493448	C5
chr4.9523133.9523264	C4
chr4.11081584.11081677	C1
chr4.11198201.11198327	C3
chr4.11279650.11279992	C2
chr4.11318363.11318972	C5
chr4.11335992.11336148	C3
chr4.11547093.11547169	C1
chr4.11549444.11549627	C5
chr4.11807970.11808042	C3
chr4.11862611.11862737	C4
chr4.12755777.12755917	C1
chr4.13152882.13152958	C1
chr4.13537703.13537793	C1
chr4.13722565.13723039	C3
chr4.14000289.14000591	C1
chr4.14238711.14238988	C3
chr4.14301152.14301219	C1
