peak	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16
chr1.985138.985573	9.02678036224315	9.38036516390141	9.04523810898425	9.23261030325089	11.0769221871277	10.9028877560924	11.279775174918	11.0448301576966	8.84571569979211	8.76909153802916	8.85215796915938	8.7896259090051	11.2287525179996	10.942061903636	10.9697375792866	10.95802519408
chr1.1571455.1571657	9.18926440226198	9.2867776635393	9.06179144587717	9.18777488019648	9.40815673951075	9.2399370423687	9.2755679768	9.31456335920813	9.48325405677247	9.48559433731441	9.41679429797548	9.44851721959224	9.43660914515694	9.34047353405574	9.43272023292449	9.38058469153713
chr1.1619424.1619485	8.74573768918809	8.83650495760876	8.84066332505021	8.8774114981508	8.68139926479131	8.70416470202997	8.68737986489771	8.61302678987903	8.99252704266455	9.03359421413653	8.94666632016674	8.9224307200644	8.64879899555394	8.52882751128817	8.58487774427506	8.55738216443857
chr1.2130254.2130456	9.43113908614711	9.44004220186453	9.3784466617555	9.519974857896	9.27165199394516	9.35013338059517	9.29918900422354	9.34850783684042	9.46566159732676	9.56171756950283	9.53478859975414	9.51179217328118	8.83519988174393	8.55660307021596	8.9344108898474	8.49447163478909
chr1.3538644.3538816	9.43657551502503	9.35726758649922	9.34720063824402	9.21049533237906	8.72832233715196	8.71246836237222	8.67854360517663	8.61302678987903	9.25433986755022	9.32769534227019	9.33961414820142	9.39877133984572	9.16683390959072	9.39176286257807	9.28864220392338	9.26632330916624
chr1.3570293.3570867	10.1076553225145	10.2612851019225	9.9816868473368	10.1300454795009	9.93388759203252	9.9611548582729	9.8722864406974	9.89251289761733	10.1287350247009	10.252833981031	10.1333932377176	10.0717996964323	9.27505583319184	9.12021047405256	9.4302437208441	9.28143103996144
chr1.3876883.3876972	9.19283290107311	9.28930311135355	9.29975396823352	9.30328858306286	9.32149273758789	9.26794719208971	9.26177815654963	9.42475696354051	9.28719445622216	9.28233575293993	9.38196207376923	9.29554278450698	9.01578435553973	8.87711577122629	8.99619681794848	8.9887589749416
chr1.3877517.3877656	9.07394217780437	9.25326419838016	9.05356244581747	9.03207677586145	9.7210281360131	9.73334906697131	9.66772279117234	9.8233298409526	9.13449181952442	9.23722770267878	9.19165895360019	9.21759803622469	8.63804078882829	8.66736356293043	8.8392095574673	8.52151292024829
chr1.4913539.4913658	9.16013584717379	9.26889275956741	9.28748853024315	9.41219730107977	9.20502594793015	9.25054830776865	9.13032323778731	9.18264208642082	9.19660480543904	9.43434253171908	9.16553094031182	9.16710795266423	8.62695583528839	8.64783190375066	8.83373074703925	8.50837138819455
chr1.5036536.5036619	8.9809539831995	9.0307263891939	8.88523524318141	8.99577996517321	8.73567448893155	8.71246836237222	8.84795029520998	8.94345391239577	9.04787584279432	9.04064472006501	9.01968213845141	8.95821154592176	8.88884292520607	8.96834814669442	9.13013488438776	8.88440116259502
chr1.5083506.5083591	9.11825172165923	9.11637460486217	9.10931827558951	9.24345377974562	8.94291370021149	8.87195530347413	8.87242257018054	8.83985605251473	9.057487038911	9.1481446533923	9.11053990724023	9.08799217694823	8.92606582390931	8.91870545480724	9.03309592185512	8.92921881506724
chr1.5317748.5317875	9.14137539890587	9.19053486186075	9.15404302599526	9.19921356130161	9.14757516227367	9.31489802373667	9.17396630759141	9.15097455018894	9.25061112927255	9.06478658088747	9.12665250469599	9.10698664610687	8.82093549887398	8.91870545480724	9.00871791275766	8.86867498993219
chr1.6147194.6147369	9.28704048938166	9.40513124622453	9.28439533028068	9.38499532244906	8.94786369436463	8.99108109628876	8.99656184079805	8.97305081582409	9.38551921155498	9.38253611135709	9.32400325313897	9.3078815520838	9.02101077554971	8.90711494730277	9.15426633922176	9.05544781526587
chr1.8186060.8186191	9.53699519984065	9.54369674995748	9.44321995928059	9.49974678901014	8.91755969929724	8.97102285595418	8.90728809498924	8.93033611240626	8.8843477798808	8.88758981758038	8.88155581770513	8.84379717918609	8.76767389887524	8.69496076543019	8.84463392144128	8.74349924042836
chr1.9508319.9508895	9.85290119965246	9.95508173796326	9.86629694344069	9.87885677459488	9.77663285324161	9.7376516582694	9.7257452138754	9.69836478459103	9.99195790316234	9.98803258766115	9.98917734320514	9.99749031495404	9.45846265663107	9.37603680024056	9.42527152449098	9.38058469153713
chr1.9509780.9510228	9.82506021986894	9.96834303680615	9.79750484475235	9.81363294368463	9.63637655154945	9.36879567676204	9.49638568798619	9.52571533430446	9.99012392861673	9.94913965980286	9.93408022027951	10.1384457028111	9.25603302131722	9.34047353405574	9.42776083206672	9.2992232475218
chr1.9780336.9780509	9.62839709776603	9.68949073759173	9.55420788496662	9.58964444276637	9.20155185171966	9.1847709628506	9.13032323778731	9.00136970068193	9.62414663280645	9.5732351408554	9.47754990751033	9.46523794042706	9.12279827912438	9.16999984054642	9.09061846349222	9.09416663826124
chr1.9783381.9783473	9.05714876277183	9.10065546908818	9.21000761456789	9.22162581609076	8.91236144639919	8.83485903323661	8.85416898796253	8.93033611240626	9.00292699711436	9.12345393276593	9.10235409354311	9.08799217694823	8.82811511432505	8.76851597785685	8.83373074703925	8.71554936668617
chr1.10215965.10216033	8.7235472928748	8.88677742918075	8.72394574399612	8.71540243674183	8.94786369436463	8.97102285595418	8.81574759173151	8.81341984399666	8.79690993303806	8.87410254157952	8.80818230056219	8.80997784139071	8.88884292520607	8.7760133349738	8.97479568442552	8.81281195680159
