bin	tar	group	zscore	kmer_family
100	1	zscore_tar	-0.400500939457383	AP2EREBP
125	1	zscore_tar	-0.400500939457383	AP2EREBP
150	1	zscore_tar	-0.400500939457383	AP2EREBP
175	1	zscore_tar	-0.400500939457383	AP2EREBP
200	1	zscore_tar	-0.400500939457383	AP2EREBP
225	1	zscore_tar	-0.400500939457383	AP2EREBP
250	1	zscore_tar	-0.400500939457383	AP2EREBP
275	1	zscore_tar	-0.400500939457383	AP2EREBP
300	1	zscore_tar	-0.400500939457383	AP2EREBP
325	1	zscore_tar	-0.400500939457383	AP2EREBP
350	1	zscore_tar	-0.400500939457383	AP2EREBP
375	1	zscore_tar	-0.400500939457383	AP2EREBP
400	1	zscore_tar	-0.400500939457383	AP2EREBP
425	1	zscore_tar	-0.400500939457383	AP2EREBP
450	1	zscore_tar	-0.400500939457383	AP2EREBP
475	1	zscore_tar	-0.400500939457383	AP2EREBP
500	1	zscore_tar	-0.400500939457383	AP2EREBP
525	1	zscore_tar	-0.400500939457383	AP2EREBP
550	1	zscore_tar	-0.400500939457383	AP2EREBP
575	1	zscore_tar	-0.400500939457383	AP2EREBP
600	1	zscore_tar	-0.400500939457383	AP2EREBP
625	1	zscore_tar	-0.400500939457383	AP2EREBP
650	1	zscore_tar	-0.400500939457383	AP2EREBP
675	1	zscore_tar	-0.400500939457383	AP2EREBP
700	1	zscore_tar	-0.400500939457383	AP2EREBP
725	1	zscore_tar	-0.400500939457383	AP2EREBP
750	1	zscore_tar	-0.400500939457383	AP2EREBP
775	1	zscore_tar	-0.400500939457383	AP2EREBP
800	1	zscore_tar	-0.400500939457383	AP2EREBP
825	1	zscore_tar	-0.400500939457383	AP2EREBP
850	1	zscore_tar	-0.400500939457383	AP2EREBP
875	1	zscore_tar	-0.400500939457383	AP2EREBP
900	1	zscore_tar	-0.400500939457383	AP2EREBP
925	1	zscore_tar	-0.400500939457383	AP2EREBP
950	1	zscore_tar	-0.400500939457383	AP2EREBP
975	1	zscore_tar	-0.400500939457383	AP2EREBP
1000	1	zscore_tar	-0.400500939457383	AP2EREBP
1025	1	zscore_tar	-0.400500939457383	AP2EREBP
1050	1	zscore_tar	-0.400500939457383	AP2EREBP
1075	1	zscore_tar	-0.400500939457383	AP2EREBP
1100	1.01	zscore_tar	2.45306825417664	AP2EREBP
1125	1.01	zscore_tar	2.45306825417664	AP2EREBP
1150	1.01	zscore_tar	2.45306825417664	AP2EREBP
1175	1.01	zscore_tar	2.45306825417664	AP2EREBP
1200	1	zscore_tar	-0.400500939457383	AP2EREBP
1225	1.01	zscore_tar	2.45306825417664	AP2EREBP
1250	1.01	zscore_tar	2.45306825417664	AP2EREBP
1275	1.01	zscore_tar	2.45306825417664	AP2EREBP
1300	1.01	zscore_tar	2.45306825417664	AP2EREBP
1325	1	zscore_tar	-0.400500939457383	AP2EREBP
1350	1	zscore_tar	-0.400500939457383	AP2EREBP
1375	1	zscore_tar	-0.400500939457383	AP2EREBP
1400	1	zscore_tar	-0.400500939457383	AP2EREBP
1425	1	zscore_tar	-0.400500939457383	AP2EREBP
1450	1	zscore_tar	-0.400500939457383	AP2EREBP
1475	1	zscore_tar	-0.400500939457383	AP2EREBP
1500	1	zscore_tar	-0.400500939457383	AP2EREBP
100	1	zscore_tar	NA	bZIP
125	1	zscore_tar	NA	bZIP
150	1	zscore_tar	NA	bZIP
175	1	zscore_tar	NA	bZIP
200	1	zscore_tar	NA	bZIP
225	1	zscore_tar	NA	bZIP
250	1	zscore_tar	NA	bZIP
275	1	zscore_tar	NA	bZIP
300	1	zscore_tar	NA	bZIP
325	1	zscore_tar	NA	bZIP
350	1	zscore_tar	NA	bZIP
375	1	zscore_tar	NA	bZIP
400	1	zscore_tar	NA	bZIP
425	1	zscore_tar	NA	bZIP
450	1	zscore_tar	NA	bZIP
475	1	zscore_tar	NA	bZIP
500	1	zscore_tar	NA	bZIP
525	1	zscore_tar	NA	bZIP
550	1	zscore_tar	NA	bZIP
575	1	zscore_tar	NA	bZIP
600	1	zscore_tar	NA	bZIP
625	1	zscore_tar	NA	bZIP
650	1	zscore_tar	NA	bZIP
675	1	zscore_tar	NA	bZIP
700	1	zscore_tar	NA	bZIP
725	1	zscore_tar	NA	bZIP
750	1	zscore_tar	NA	bZIP
775	1	zscore_tar	NA	bZIP
800	1	zscore_tar	NA	bZIP
825	1	zscore_tar	NA	bZIP
850	1	zscore_tar	NA	bZIP
875	1	zscore_tar	NA	bZIP
900	1	zscore_tar	NA	bZIP
925	1	zscore_tar	NA	bZIP
950	1	zscore_tar	NA	bZIP
975	1	zscore_tar	NA	bZIP
1000	1	zscore_tar	NA	bZIP
1025	1	zscore_tar	NA	bZIP
