geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g01270	C5	C10	chr1.1448744.1448975	chr1	1448744	1448975	232	831
Mp2g00660	C5	C10	chr2.736728.737603	chr2	736728	737603	876	0
Mp5g14020	C5	C10	chr5.15253202.15253342	chr5	15253202	15253342	141	0
Mp5g14670	C5	C10	chr5.15929554.15929640	chr5	15929554	15929640	87	0
Mp6g04780	C5	C10	chr6.5283300.5283816	chr6	5283300	5283816	517	1065
Mp6g06000	C5	C10	chr6.6519551.6519910	chr6	6519551	6519910	360	1384
Mp6g14080	C5	C10	chr6.15379531.15379663	chr6	15379531	15379663	133	-1002
Mp7g01430	C5	C10	chr7.2033444.2034399	chr7	2033444	2034399	956	0
Mp8g09630	C5	C10	chr8.11176610.11177569	chr8	11176610	11177569	960	0
Mpzg00500	C5	C10	unplaced-scaffold_145.8801.9224	unplaced-scaffold_145	8801	9224	424	0
