geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g26000	C5	C3	chr1.26501569.26501857	chr1	26501569	26501857	289	1130
Mp1g27870	C5	C3	chr1.28120603.28120816	chr1	28120603	28120816	214	-1118
Mp1g28310	C5	C3	chr1.28693184.28693431	chr1	28693184	28693431	248	-988
Mp2g05630	C5	C3	chr2.5831120.5831571	chr2	5831120	5831571	452	1354
Mp3g21090	C5	C3	chr3.21806668.21807403	chr3	21806668	21807403	736	0
Mp4g00650	C5	C3	chr4.868216.868527	chr4	868216	868527	312	-2
Mp4g02980	C5	C3	chr4.3273793.3274006	chr4	3273793	3274006	214	25
Mp4g03330	C5	C3	chr4.3813367.3813621	chr4	3813367	3813621	255	184
Mp4g19900	C5	C3	chr4.22522148.22522259	chr4	22522148	22522259	112	-300
Mp5g02500	C5	C3	chr5.3060890.3061012	chr5	3060890	3061012	123	-742
Mp5g13020	C5	C3	chr5.14188808.14189191	chr5	14188808	14189191	384	0
Mp5g22410	C5	C3	chr5.24222171.24222348	chr5	24222171	24222348	178	0
Mp6g06960	C5	C3	chr6.7561599.7561768	chr6	7561599	7561768	170	-90
Mp8g05280	C5	C3	chr8.6033562.6034197	chr8	6033562	6034197	636	430
