geneId	RNA_cluster	ATAC_cluster	peak	seqnames	start	end	width	distanceToTSS
Mp1g01880	C5	C6	chr1.2140761.2141400	chr1	2140761	2141400	640	0
Mp1g02930	C5	C6	chr1.3213013.3213578	chr1	3213013	3213578	566	0
Mp1g17415	C5	C6	chr1.17758443.17759079	chr1	17758443	17759079	637	1147
Mp4g06390	C5	C6	chr4.7102614.7103620	chr4	7102614	7103620	1007	0
Mp4g09760	C5	C6	chr4.10910225.10910409	chr4	10910225	10910409	185	580
Mp4g14600	C5	C6	chr4.16760000.16760127	chr4	16760000	16760127	128	-1350
Mp5g08320	C5	C6	chr5.9002666.9003141	chr5	9002666	9003141	476	-1069
Mp5g11160	C5	C6	chr5.12463498.12463792	chr5	12463498	12463792	295	553
Mp6g05600	C5	C6	chr6.6131143.6132076	chr6	6131143	6132076	934	139
Mp6g15610	C5	C6	chr6.17185906.17186026	chr6	17185906	17186026	121	284
Mp6g15610	C5	C6	chr6.17187803.17187980	chr6	17187803	17187980	178	-1493
